method,base,expr1,expr2,dS1,dS2,rand1,forg1
RepNoise,0.1292517006802721,0.5748299319727891,0.7142857142857142,0.738095238095238,0.7448979591836735,0.1326530612244898,0.4047619047619047
PB_J,0.1754385964912281,0.5131578947368421,0.5175438596491228,0.5570175438596491,0.618421052631579,0.219298245614035,0.4305555555555555
RR,0.1924882629107981,0.3990610328638497,0.4835680751173709,0.488262910798122,0.4694835680751174,0.2253521126760563,0.4242424242424242
GradDiff,0.25,0.3095238095238095,0.3333333333333333,0.6607142857142857,0.7440476190476192,0.244047619047619,0.2962962962962963
RMU,0.1476190476190476,0.2809523809523809,0.3571428571428571,0.4904761904761905,0.4714285714285714,0.1571428571428571,0.3333333333333333
RMU-LAT,0.1565656565656565,0.2575757575757575,0.3232323232323232,0.3181818181818182,0.3232323232323232,0.2121212121212121,0.311111111111111
ELM,0.2133333333333333,0.2399999999999999,0.24,0.3066666666666666,0.4266666666666666,0.2222222222222222,0.1851851851851851
TAR,0.1798245614035087,0.1929824561403508,0.2236842105263158,0.2236842105263157,0.2850877192982455,0.1885964912280701,0.2121212121212121
