condition,beta,kext
A_ridge_base,0.0,0.25
B_coral_retained,0.0,0.25
A_ridge_base,0.5,0.6845238095238094
B_coral_retained,0.5,0.3095238095238095
A_ridge_base,1.0,0.6785714285714286
B_coral_retained,1.0,0.35714285714285715
A_translation_dS,1.0,0.6607142857142857
B_translation_r,1.0,0.32142857142857145
B_coral_forgotten(ctrl),1.0,0.2857142857142857
forgottenQ_under_Bret(ctrl),1.0,0.4074074074074074
