condition,coef,margin,kext,kint
baseline,0.0,-2.094252347946167,1.0,0.9690476190476189
PB_J_forgVsupp,0.1,-2.4718470573425293,0.9976190476190475,0.9904761904761904
PB_J_forgVsupp,0.25,-3.3215959072113037,0.9952380952380953,0.9785714285714285
PB_J_forgVsupp,0.5,-4.2880859375,0.9928571428571429,0.9166666666666665
PB_J_forgVsupp,1.0,-5.217354774475098,0.9523809523809522,0.6547619047619047
RepNoise_forgVsupp,0.1,-2.6337053775787354,0.9952380952380953,0.9857142857142858
RepNoise_forgVsupp,0.25,-3.9148716926574707,0.9880952380952381,0.9690476190476189
RepNoise_forgVsupp,0.5,-5.640067100524902,0.9809523809523808,0.9452380952380953
RepNoise_forgVsupp,1.0,-4.788616180419922,0.9119047619047619,0.6785714285714286
TAR_forgVsupp,0.1,-1.8603794574737549,0.9976190476190475,0.9761904761904763
TAR_forgVsupp,0.25,-2.0174944400787354,0.9976190476190475,0.9595238095238096
TAR_forgVsupp,0.5,-4.0076727867126465,0.9833333333333335,0.930952380952381
TAR_forgVsupp,1.0,-5.877957820892334,0.9547619047619047,0.6095238095238095
RR_forgVsupp,0.1,-2.2886440753936768,0.9952380952380953,0.9880952380952381
RR_forgVsupp,0.25,-3.1653738021850586,0.9952380952380953,0.9547619047619049
RR_forgVsupp,0.5,-4.7049665451049805,0.9880952380952379,0.8642857142857143
RR_forgVsupp,1.0,-4.22075891494751,0.9142857142857141,0.6166666666666666
knowledge_ablate,0.1,-3.377204179763794,0.9880952380952381,0.9761904761904762
knowledge_ablate,0.25,-5.6942243576049805,0.9714285714285714,0.9452380952380951
knowledge_ablate,0.5,-9.36436939239502,0.9476190476190476,0.7142857142857143
knowledge_ablate,1.0,-6.954771041870117,0.8714285714285714,0.4261904761904762
rand0,0.1,-2.082505464553833,1.0,0.9738095238095237
rand0,0.25,-2.2727956771850586,0.9952380952380953,0.9761904761904763
rand0,0.5,-3.327846050262451,0.9785714285714285,0.9714285714285714
rand0,1.0,-4.289536952972412,0.9666666666666666,0.9023809523809524
rand1,0.1,-1.8016741275787354,1.0,0.9690476190476189
rand1,0.25,-1.5095982551574707,1.0,0.9547619047619047
rand1,0.5,-1.3935267925262451,0.9952380952380953,0.9285714285714286
rand1,1.0,-3.512221097946167,0.9785714285714285,0.8142857142857143
