condition,beta,kext
A_ridge_base,0.0,0.21333333333333335
B_coral_retained,0.0,0.21333333333333335
A_ridge_base,0.5,0.3155555555555555
B_coral_retained,0.5,0.2311111111111111
A_ridge_base,1.0,0.49333333333333335
B_coral_retained,1.0,0.2533333333333333
A_translation_dS,1.0,0.3022222222222222
B_translation_r,1.0,0.23555555555555552
B_coral_forgotten(ctrl),1.0,0.3466666666666666
forgottenQ_under_Bret(ctrl),1.0,0.27777777777777773
