method,gamma,kext
RMU,0.003,0.3999999999999999
RMU,0.01,0.4047619047619047
RMU,0.03,0.4142857142857143
RMU,0.1,0.419047619047619
RMU,0.3,0.4142857142857143
RMU,1.0,0.3904761904761905
RMU,3.0,0.3857142857142857
RMU,10.0,0.380952380952381
RMU,100.0,0.3952380952380952
RMU,1000.0,0.419047619047619
RMU,inf,0.4904761904761904
