condition,beta,kext
A_ridge_base,0.0,0.1754385964912281
B_coral_retained,0.0,0.1754385964912281
A_ridge_base,0.5,0.5
B_coral_retained,0.5,0.3815789473684211
A_ridge_base,1.0,0.43421052631578955
B_coral_retained,1.0,0.5219298245614035
A_translation_dS,1.0,0.5570175438596491
B_translation_r,1.0,0.5219298245614036
B_coral_forgotten(ctrl),1.0,0.4254385964912281
forgottenQ_under_Bret(ctrl),1.0,0.38888888888888884
