condition,beta,kext
A_ridge_base,0.0,0.14761904761904762
B_coral_retained,0.0,0.14761904761904762
A_ridge_base,0.5,0.35714285714285715
B_coral_retained,0.5,0.2238095238095238
A_ridge_base,1.0,0.3952380952380953
B_coral_retained,1.0,0.3142857142857142
A_translation_dS,1.0,0.4857142857142857
B_translation_r,1.0,0.28571428571428564
B_coral_forgotten(ctrl),1.0,0.3333333333333333
forgottenQ_under_Bret(ctrl),1.0,0.3518518518518518
