method,gamma,kext
RepNoise,0.003,0.4727891156462585
RepNoise,0.01,0.4761904761904761
RepNoise,0.03,0.4931972789115647
RepNoise,0.1,0.510204081632653
RepNoise,0.3,0.5068027210884354
RepNoise,1.0,0.5646258503401361
RepNoise,3.0,0.6190476190476191
RepNoise,10.0,0.6700680272108842
RepNoise,100.0,0.6870748299319728
RepNoise,1000.0,0.7074829931972788
RepNoise,inf,0.7448979591836733
