method,gamma,kext
PB_J,0.003,0.3552631578947368
PB_J,0.01,0.3552631578947368
PB_J,0.03,0.3640350877192982
PB_J,0.1,0.3859649122807017
PB_J,0.3,0.3859649122807017
PB_J,1.0,0.4342105263157895
PB_J,3.0,0.469298245614035
PB_J,10.0,0.5
PB_J,100.0,0.4824561403508771
PB_J,1000.0,0.5219298245614035
PB_J,inf,0.5570175438596491
