method,gamma,kext
ELM,0.003,0.5422222222222222
ELM,0.01,0.5422222222222222
ELM,0.03,0.5377777777777777
ELM,0.1,0.528888888888889
ELM,0.3,0.5244444444444444
ELM,1.0,0.4844444444444444
ELM,3.0,0.4444444444444443
ELM,10.0,0.3644444444444444
ELM,100.0,0.3111111111111111
ELM,1000.0,0.3199999999999999
ELM,inf,0.3022222222222221
