method,base,supp_dS,random,forg,specificity
RepNoise,0.1496598639455782,0.6972789115646258,0.2414965986394557,0.5357142857142857,0.45578231292517013
GradDiff,0.2202380952380952,0.6309523809523808,0.244047619047619,0.2962962962962963,0.3869047619047618
RR,0.2018779342723004,0.4976525821596244,0.4319248826291079,0.3333333333333333,0.06572769953051649
PB_J,0.1710526315789473,0.4956140350877193,0.2850877192982455,0.4305555555555555,0.21052631578947378
RMU,0.1523809523809523,0.4904761904761905,0.4476190476190476,0.5185185185185185,0.04285714285714293
RMU-LAT,0.1464646464646465,0.3888888888888888,0.3636363636363636,0.3555555555555555,0.025252525252525193
TAR,0.1842105263157895,0.2543859649122806,0.1842105263157894,0.2878787878787878,0.0701754385964912
ELM,0.2044444444444444,0.2488888888888889,0.2177777777777777,0.2407407407407407,0.0311111111111112
