method,gamma,kext
RR,0.003,0.4272300469483568
RR,0.01,0.4272300469483568
RR,0.03,0.4272300469483568
RR,0.1,0.4131455399061032
RR,0.3,0.4178403755868545
RR,1.0,0.4225352112676057
RR,3.0,0.4037558685446009
RR,10.0,0.3849765258215962
RR,100.0,0.380281690140845
RR,1000.0,0.3896713615023474
RR,inf,0.488262910798122
