method,gamma,kext
GradDiff,0.003,0.6904761904761905
GradDiff,0.01,0.6904761904761905
GradDiff,0.03,0.6904761904761905
GradDiff,0.1,0.6845238095238094
GradDiff,0.3,0.6845238095238094
GradDiff,1.0,0.6785714285714286
GradDiff,3.0,0.6845238095238094
GradDiff,10.0,0.7083333333333333
GradDiff,100.0,0.6964285714285714
GradDiff,1000.0,0.6904761904761905
GradDiff,inf,0.6607142857142857
