condition,beta,kext
A_ridge_base,0.0,0.19248826291079815
B_coral_retained,0.0,0.19248826291079815
A_ridge_base,0.5,0.41314553990610325
B_coral_retained,0.5,0.3427230046948357
A_ridge_base,1.0,0.4225352112676057
B_coral_retained,1.0,0.41314553990610325
A_translation_dS,1.0,0.488262910798122
B_translation_r,1.0,0.39436619718309857
B_coral_forgotten(ctrl),1.0,0.4647887323943662
forgottenQ_under_Bret(ctrl),1.0,0.45454545454545453
