method,gamma,kext
TAR,0.003,0.3026315789473683
TAR,0.01,0.3026315789473683
TAR,0.03,0.3026315789473683
TAR,0.1,0.3070175438596491
TAR,0.3,0.3026315789473684
TAR,1.0,0.2982456140350876
TAR,3.0,0.2850877192982455
TAR,10.0,0.263157894736842
TAR,100.0,0.2719298245614034
TAR,1000.0,0.2499999999999999
TAR,inf,0.2280701754385964
