direction,coef,margin,kext,kint
baseline,0.0,-2.094252347946167,1.0,0.9714285714285714
cons_supp_vs_ret,0.25,-2.2686104774475098,0.9976190476190477,0.9595238095238096
cons_supp_vs_ret,0.5,-2.458510160446167,0.9976190476190477,0.9547619047619049
cons_supp_vs_ret,1.0,-2.7685546875,0.9904761904761904,0.9523809523809524
cons_supp_vs_ret,2.0,-4.008817195892334,0.9809523809523808,0.919047619047619
cons_forg_vs_ret,0.25,-2.0655970573425293,1.0,0.9690476190476189
cons_forg_vs_ret,0.5,-2.0474889278411865,1.0,0.9666666666666666
cons_forg_vs_ret,1.0,-2.0762276649475098,1.0,0.9619047619047618
cons_forg_vs_ret,2.0,-2.422572612762451,0.9928571428571429,0.9547619047619047
cons_forg_vs_supp,0.25,-2.0272600650787354,1.0,0.9642857142857143
cons_forg_vs_supp,0.5,-1.9767019748687744,0.9976190476190477,0.9595238095238096
cons_forg_vs_supp,1.0,-2.251702070236206,0.9952380952380951,0.9476190476190478
cons_forg_vs_supp,2.0,-3.5817244052886963,0.9761904761904763,0.8452380952380952
PB_J_supp_vs_ret,0.25,-2.2710659503936768,0.9976190476190477,0.9571428571428572
PB_J_supp_vs_ret,0.5,-2.4578683376312256,0.9976190476190477,0.9547619047619049
PB_J_supp_vs_ret,1.0,-2.7847657203674316,0.9904761904761904,0.95
PB_J_supp_vs_ret,2.0,-3.9979910850524902,0.9738095238095237,0.9261904761904761
RepNoise_supp_vs_ret,0.25,-2.2874441146850586,0.9976190476190477,0.9571428571428572
RepNoise_supp_vs_ret,0.5,-2.475613832473755,0.9976190476190477,0.9547619047619049
RepNoise_supp_vs_ret,1.0,-2.7286272048950195,0.9904761904761904,0.9547619047619049
RepNoise_supp_vs_ret,2.0,-3.9893414974212646,0.9857142857142858,0.9095238095238095
TAR_supp_vs_ret,0.25,-2.236579179763794,0.9976190476190477,0.9595238095238096
TAR_supp_vs_ret,0.5,-2.419140577316284,0.9976190476190477,0.9547619047619049
TAR_supp_vs_ret,1.0,-2.7469866275787354,0.9928571428571429,0.95
TAR_supp_vs_ret,2.0,-4.033789157867432,0.9761904761904762,0.9285714285714286
RR_supp_vs_ret,0.25,-2.201925277709961,0.9976190476190477,0.9666666666666668
RR_supp_vs_ret,0.5,-2.3551340103149414,0.9976190476190477,0.9547619047619049
RR_supp_vs_ret,1.0,-2.5990233421325684,0.9952380952380951,0.9476190476190476
RR_supp_vs_ret,2.0,-3.6138393878936768,0.9833333333333335,0.9428571428571428
rand0,0.25,-2.105273485183716,1.0,0.9714285714285714
rand0,0.5,-2.121567964553833,1.0,0.9714285714285714
rand0,1.0,-2.211663007736206,0.9952380952380953,0.9666666666666666
rand0,2.0,-2.6591238975524902,0.9952380952380951,0.9452380952380951
rand1,0.25,-2.139871597290039,1.0,0.9690476190476192
rand1,0.5,-2.2015066146850586,1.0,0.9666666666666666
rand1,1.0,-2.3704240322113037,0.9976190476190475,0.9547619047619049
rand1,2.0,-3.7498884201049805,0.9809523809523808,0.9357142857142857
