method,rows,unique_questions,suppressed_count,forgotten_count
ELM,105,105,79,26
GradDiff,86,86,69,17
PB_J,117,117,63,54
RMU-LAT,97,97,57,40
RR,95,95,66,29
RepNoise,150,150,106,44
TAR,121,121,86,35
