task,seed,C,roc_auc
suppressed_vs_forgotten,12,5.0,0.6083505866114561
suppressed_vs_forgotten,12,10.0,0.608280295478363
suppressed_vs_forgotten,12,100.0,0.6083314163024307
suppressed_vs_forgotten,13,0.001,0.608002325997495
suppressed_vs_forgotten,13,0.01,0.6086157758863073
suppressed_vs_forgotten,13,0.1,0.6066604043657184
suppressed_vs_forgotten,13,0.5,0.6054271144850855
suppressed_vs_forgotten,13,1.0,0.6051267796436879
suppressed_vs_forgotten,13,2.0,0.6049989775835185
suppressed_vs_forgotten,13,5.0,0.604711422948138
suppressed_vs_forgotten,13,10.0,0.6046219615060194
suppressed_vs_forgotten,13,100.0,0.6045836208879687
suppressed_vs_forgotten,14,0.001,0.6114817370856018
suppressed_vs_forgotten,14,0.01,0.611136671523145
suppressed_vs_forgotten,14,0.1,0.6075326534263733
suppressed_vs_forgotten,14,0.5,0.6056475730388773
suppressed_vs_forgotten,14,1.0,0.6053919689185389
suppressed_vs_forgotten,14,2.0,0.6051810955192598
suppressed_vs_forgotten,14,5.0,0.6051491450042175
suppressed_vs_forgotten,14,10.0,0.6051235845921836
suppressed_vs_forgotten,14,100.0,0.6051299746951921
suppressed_vs_forgotten,15,0.001,0.6067977915804003
suppressed_vs_forgotten,15,0.01,0.6056475730388774
suppressed_vs_forgotten,15,0.1,0.6045484753214221
suppressed_vs_forgotten,15,0.5,0.6032385042046877
suppressed_vs_forgotten,15,1.0,0.60293816936329
suppressed_vs_forgotten,15,2.0,0.602880658436214
suppressed_vs_forgotten,15,5.0,0.6028295376121463
suppressed_vs_forgotten,15,10.0,0.6027656365820617
suppressed_vs_forgotten,15,100.0,0.602797587097104
suppressed_vs_forgotten,16,0.001,0.6086285560923241
suppressed_vs_forgotten,16,0.01,0.6086157758863073
suppressed_vs_forgotten,16,0.1,0.6083665618689773
suppressed_vs_forgotten,16,0.5,0.6075550187869029
suppressed_vs_forgotten,16,1.0,0.6075358484778774
suppressed_vs_forgotten,16,2.0,0.6073824860056743
suppressed_vs_forgotten,16,5.0,0.607459167241776
suppressed_vs_forgotten,16,10.0,0.607388876108683
suppressed_vs_forgotten,16,100.0,0.6073377552846152
suppressed_vs_forgotten,17,0.001,0.608181248881732
suppressed_vs_forgotten,17,0.01,0.6070565907522429
suppressed_vs_forgotten,17,0.1,0.6044749891368248
suppressed_vs_forgotten,17,0.5,0.6034397924494543
suppressed_vs_forgotten,17,1.0,0.603145847711065
suppressed_vs_forgotten,17,2.0,0.6032736497712343
suppressed_vs_forgotten,17,5.0,0.6031650180200905
suppressed_vs_forgotten,17,10.0,0.6030691664749636
suppressed_vs_forgotten,17,100.0,0.6030436060629297
suppressed_vs_forgotten,18,0.001,0.6091813000025561
suppressed_vs_forgotten,18,0.01,0.6075965544564579
suppressed_vs_forgotten,18,0.1,0.6014748357743527
suppressed_vs_forgotten,18,0.5,0.5979666692227079
suppressed_vs_forgotten,18,1.0,0.5976663343813102
suppressed_vs_forgotten,18,2.0,0.5972765380977941
suppressed_vs_forgotten,18,5.0,0.5971551261406334
suppressed_vs_forgotten,18,10.0,0.5970720548015234
suppressed_vs_forgotten,18,100.0,0.5970337141834727
suppressed_vs_forgotten,19,0.001,0.6093666129898014
suppressed_vs_forgotten,19,0.01,0.6086764818648877
suppressed_vs_forgotten,19,0.1,0.6079416200189147
suppressed_vs_forgotten,19,0.5,0.607321780027094
suppressed_vs_forgotten,19,1.0,0.6071045165248063
suppressed_vs_forgotten,19,2.0,0.6069767144646372
suppressed_vs_forgotten,19,5.0,0.606836132198451
suppressed_vs_forgotten,19,10.0,0.6068489124044679
suppressed_vs_forgotten,19,100.0,0.6068297420954426
suppressed_vs_retained,0,0.001,0.5604268383359532
suppressed_vs_retained,0,0.01,0.5587173724814912
suppressed_vs_retained,0,0.1,0.5573525794171972
suppressed_vs_retained,0,0.5,0.5562865954250247
suppressed_vs_retained,0,1.0,0.5561712412250894
suppressed_vs_retained,0,2.0,0.5561017507432007
suppressed_vs_retained,0,5.0,0.5561003609335629
suppressed_vs_retained,0,10.0,0.5560948016950118
suppressed_vs_retained,0,100.0,0.5561239876974051
suppressed_vs_retained,1,0.001,0.5576312362495708
suppressed_vs_retained,1,0.01,0.5540913911021607
suppressed_vs_retained,1,0.1,0.5504681573764841
suppressed_vs_retained,1,0.5,0.549756574841944
suppressed_vs_retained,1,1.0,0.5496940334082441
suppressed_vs_retained,1,2.0,0.5496217633070798
suppressed_vs_retained,1,5.0,0.5495981365432377
suppressed_vs_retained,1,10.0,0.549553662634829
suppressed_vs_retained,1,100.0,0.5495133581553335
suppressed_vs_retained,2,0.001,0.5579029440337557
suppressed_vs_retained,2,0.01,0.5566173701188148
suppressed_vs_retained,2,0.1,0.5563157814274179
suppressed_vs_retained,2,0.5,0.5561684616058139
suppressed_vs_retained,2,1.0,0.5560961915046496
suppressed_vs_retained,2,2.0,0.5560614462637052
suppressed_vs_retained,2,5.0,0.5560336500709497
suppressed_vs_retained,2,10.0,0.5560350398805876
suppressed_vs_retained,2,100.0,0.5560697851215319
suppressed_vs_retained,3,0.001,0.5552289502906786
suppressed_vs_retained,3,0.01,0.5501478062549773
suppressed_vs_retained,3,0.1,0.547832383398446
suppressed_vs_retained,3,0.5,0.5466871802569202
suppressed_vs_retained,3,1.0,0.5465231827196628
suppressed_vs_retained,3,2.0,0.5464175571871921
suppressed_vs_retained,3,5.0,0.5463494565149412
suppressed_vs_retained,3,10.0,0.5463786425173344
suppressed_vs_retained,3,100.0,0.5463480667053033
suppressed_vs_retained,4,0.001,0.547911602547799
suppressed_vs_retained,4,0.01,0.5414601062092526
suppressed_vs_retained,4,0.1,0.5364484526554398
suppressed_vs_retained,4,0.5,0.5359592396629433
suppressed_vs_retained,4,1.0,0.5358800205135902
suppressed_vs_retained,4,2.0,0.5357910726967727
suppressed_vs_retained,4,5.0,0.5358160892702526
suppressed_vs_retained,4,10.0,0.5357535478365528
suppressed_vs_retained,4,100.0,0.535721582214884
suppressed_vs_retained,5,0.001,0.5593712779160638
suppressed_vs_retained,5,0.01,0.5579328249409679
suppressed_vs_retained,5,0.1,0.5568876880933619
suppressed_vs_retained,5,0.5,0.5568585020909687
suppressed_vs_retained,5,1.0,0.5567584357970489
suppressed_vs_retained,5,2.0,0.5566403019778381
suppressed_vs_retained,5,5.0,0.5566194548332715
suppressed_vs_retained,5,10.0,0.5566027771176181
suppressed_vs_retained,5,100.0,0.5565902688308781
suppressed_vs_retained,6,0.001,0.5563095272840479
suppressed_vs_retained,6,0.01,0.5540121719528077
suppressed_vs_retained,6,0.1,0.5515424802264833
suppressed_vs_retained,6,0.5,0.5508628633136119
suppressed_vs_retained,6,1.0,0.5507864237835343
suppressed_vs_retained,6,2.0,0.5507502887329523
suppressed_vs_retained,6,5.0,0.550634934533017
suppressed_vs_retained,6,10.0,0.5506293752944659
suppressed_vs_retained,6,100.0,0.5505807319571439
suppressed_vs_retained,7,0.001,0.5600863349746985
suppressed_vs_retained,7,0.01,0.5586298144743114
suppressed_vs_retained,7,0.1,0.5598750839097568
suppressed_vs_retained,7,0.5,0.5596874596086574
suppressed_vs_retained,7,1.0,0.5596596634159019
suppressed_vs_retained,7,2.0,0.5596388162713353
suppressed_vs_retained,7,5.0,0.5597041373243107
suppressed_vs_retained,7,10.0,0.5596971882761218
suppressed_vs_retained,7,100.0,0.5597333233267039
suppressed_vs_retained,8,0.001,0.5568327906126698
suppressed_vs_retained,8,0.01,0.5551997642882853
suppressed_vs_retained,8,0.1,0.5558599238662281
suppressed_vs_retained,8,0.5,0.5561281571263184
suppressed_vs_retained,8,1.0,0.5560002946396432
suppressed_vs_retained,8,2.0,0.5560294806420365
suppressed_vs_retained,8,5.0,0.5560086334974698
suppressed_vs_retained,8,10.0,0.5559877863529032
suppressed_vs_retained,8,100.0,0.5559891761625411
suppressed_vs_retained,9,0.001,0.5606332250671625
suppressed_vs_retained,9,0.01,0.5599716756795821
suppressed_vs_retained,9,0.1,0.5564234916743453
suppressed_vs_retained,9,0.5,0.5555145561712411
suppressed_vs_retained,9,1.0,0.5553533382532594
suppressed_vs_retained,9,2.0,0.5552727292942685
suppressed_vs_retained,9,5.0,0.5551740528099867
suppressed_vs_retained,9,10.0,0.5551226298533889
suppressed_vs_retained,9,100.0,0.5551323585208534
suppressed_vs_retained,10,0.001,0.5564665757731163
suppressed_vs_retained,10,0.01,0.5502999904103135
suppressed_vs_retained,10,0.1,0.5468115682195009
suppressed_vs_retained,10,0.5,0.5468685504146497
suppressed_vs_retained,10,1.0,0.5469158039423341
suppressed_vs_retained,10,2.0,0.5468824485110274
suppressed_vs_retained,10,5.0,0.5468407542218943
suppressed_vs_retained,10,10.0,0.5468157376484143
suppressed_vs_retained,10,100.0,0.5469005160363185
suppressed_vs_retained,11,0.001,0.5596499347484374
suppressed_vs_retained,11,0.01,0.5563130018081424
suppressed_vs_retained,11,0.1,0.5551803069533565
suppressed_vs_retained,11,0.5,0.555313728678583
suppressed_vs_retained,11,1.0,0.5552220012424898
suppressed_vs_retained,11,2.0,0.5551803069533565
suppressed_vs_retained,11,5.0,0.5551205451389324
suppressed_vs_retained,11,10.0,0.5550941387558146
suppressed_vs_retained,11,100.0,0.5550844100883503
suppressed_vs_retained,12,0.001,0.5579905020409354
suppressed_vs_retained,12,0.01,0.5572177678823331
suppressed_vs_retained,12,0.1,0.5556500626109242
suppressed_vs_retained,12,0.5,0.555024648273926
suppressed_vs_retained,12,1.0,0.5550051909389971
suppressed_vs_retained,12,2.0,0.5548606507366686
suppressed_vs_retained,12,5.0,0.5548550914981175
suppressed_vs_retained,12,10.0,0.5548370239728264
suppressed_vs_retained,12,100.0,0.5548606507366686
suppressed_vs_retained,13,0.001,0.5601467916939417
suppressed_vs_retained,13,0.01,0.5580565179987298
suppressed_vs_retained,13,0.1,0.5561093946962085
suppressed_vs_retained,13,0.5,0.5559565156360533
suppressed_vs_retained,13,1.0,0.5557549932385761
suppressed_vs_retained,13,2.0,0.5555381829350834
suppressed_vs_retained,13,5.0,0.5555312338868945
suppressed_vs_retained,13,10.0,0.5555131663616034
suppressed_vs_retained,13,100.0,0.5554728618821081
suppressed_vs_retained,14,0.001,0.5517071726685596
suppressed_vs_retained,14,0.01,0.5469442950399084
suppressed_vs_retained,14,0.1,0.5447067015230923
suppressed_vs_retained,14,0.5,0.5439728820343477
suppressed_vs_retained,14,1.0,0.5438422399283971
suppressed_vs_retained,14,2.0,0.5437421736344773
suppressed_vs_retained,14,5.0,0.543644886959833
suppressed_vs_retained,14,10.0,0.5436949201067929
suppressed_vs_retained,14,100.0,0.543651836008022
suppressed_vs_retained,15,0.001,0.5513937705952415
suppressed_vs_retained,15,0.01,0.5491353299338588
suppressed_vs_retained,15,0.1,0.548532152551065
suppressed_vs_retained,15,0.5,0.5488545883870286
suppressed_vs_retained,15,1.0,0.5489212992496417
suppressed_vs_retained,15,2.0,0.5489101807725395
suppressed_vs_retained,15,5.0,0.5489268584881929
suppressed_vs_retained,15,10.0,0.5489282482978306
suppressed_vs_retained,15,100.0,0.5489393667749328
suppressed_vs_retained,16,0.001,0.5517898663420071
suppressed_vs_retained,16,0.01,0.5499706055261611
suppressed_vs_retained,16,0.1,0.5504820554728619
suppressed_vs_retained,16,0.5,0.5500428756273252
suppressed_vs_retained,16,1.0,0.5497899302732505
suppressed_vs_retained,16,2.0,0.5498413532298481
suppressed_vs_retained,16,5.0,0.5498941659960835
suppressed_vs_retained,16,10.0,0.5499233519984768
suppressed_vs_retained,16,100.0,0.5499372500948545
suppressed_vs_retained,17,0.001,0.5605762428720138
suppressed_vs_retained,17,0.01,0.5598340845254425
suppressed_vs_retained,17,0.1,0.5578591650301659
suppressed_vs_retained,17,0.5,0.5570211098185882
suppressed_vs_retained,17,1.0,0.5570697531559102
suppressed_vs_retained,17,2.0,0.5571114474450434
suppressed_vs_retained,17,5.0,0.557040567153517
suppressed_vs_retained,17,10.0,0.5569877543872815
suppressed_vs_retained,17,100.0,0.556966907242715
suppressed_vs_retained,18,0.001,0.5564311356273531
suppressed_vs_retained,18,0.01,0.5530858638292313
suppressed_vs_retained,18,0.1,0.5506689848691425
suppressed_vs_retained,18,0.5,0.549466799532468
suppressed_vs_retained,18,1.0,0.5494000886698549
suppressed_vs_retained,18,2.0,0.5494251052433348
suppressed_vs_retained,18,5.0,0.5494000886698549
suppressed_vs_retained,18,10.0,0.5493973090505794
suppressed_vs_retained,18,100.0,0.549337547236155
suppressed_vs_retained,19,0.001,0.555737620618104
suppressed_vs_retained,19,0.01,0.5544548263224385
suppressed_vs_retained,19,0.1,0.5528885108606674
suppressed_vs_retained,19,0.5,0.55192537278169
suppressed_vs_retained,19,1.0,0.5517169013360239
suppressed_vs_retained,19,2.0,0.5517210707649374
suppressed_vs_retained,19,5.0,0.551711342097473
suppressed_vs_retained,19,10.0,0.5516765968565285
suppressed_vs_retained,19,100.0,0.551711342097473
