task,C,mean,std,min,max
suppressed_vs_forgotten,0.001,0.6090905605398359,0.0023878568847668174,0.6019413132939703,0.613357232318585
suppressed_vs_forgotten,0.01,0.6084304628990619,0.0033270307000792644,0.5992830304424507,0.6145074508601078
suppressed_vs_forgotten,0.1,0.6061332208675203,0.004551040580518548,0.5943115303018685,0.6153062137361653
suppressed_vs_forgotten,0.5,0.6046801114433965,0.005124289492750269,0.591889681261662,0.6142518467397695
suppressed_vs_forgotten,1.0,0.6044053370140327,0.005241927179114864,0.591225110548782,0.614066533752524
suppressed_vs_forgotten,2.0,0.6042586841499885,0.0053349462130047876,0.5909695064284436,0.6140601436495156
suppressed_vs_forgotten,5.0,0.6041427037803849,0.005382221149086385,0.5907586330291644,0.6139451217953633
suppressed_vs_forgotten,10.0,0.6041040436571837,0.005398661015454871,0.5907075122050967,0.6139323415893465
suppressed_vs_forgotten,100.0,0.6040743296781944,0.0054137455341053365,0.5906372210720037,0.6138940009712957
suppressed_vs_retained,0.001,0.5567112170146056,0.0035935926238492037,0.547911602547799,0.5606332250671625
suppressed_vs_retained,0.01,0.5541046290389605,0.004842776688876202,0.5414601062092526,0.5599716756795821
suppressed_vs_retained,0.1,0.5523947462416073,0.005609978354612416,0.5364484526554398,0.5598750839097568
suppressed_vs_retained,0.5,0.5519178330644052,0.005673009815148039,0.5359592396629433,0.5596874596086574
suppressed_vs_retained,1.0,0.5518280513618049,0.005673586267012883,0.5358800205135902,0.5596596634159019
suppressed_vs_retained,2.0,0.5517769063671348,0.0056777748541283184,0.5357910726967727,0.5596388162713353
suppressed_vs_retained,5.0,0.5517502220220896,0.005680372155924092,0.5358160892702526,0.5597041373243107
suppressed_vs_retained,10.0,0.5517361849447481,0.005677622848691202,0.5357535478365528,0.5596971882761218
suppressed_vs_retained,100.0,0.5517332663445088,0.005688378285041943,0.535721582214884,0.5597333233267039
