method,question_idx,subset,layer_band,K_external_ck8,frozen_K_internal,retrained_K_internal,recovery_gain,quadrant
GradDiff,3,retained,mid,0.6666666865348816,0.6666666666666666,0.3333333432674408,-0.33333332339922583,frozen_high_retrained_low
GradDiff,5,retained,mid,1.0,1.0,0.6727272808551789,-0.32727271914482114,frozen_high_retrained_high
GradDiff,8,retained,mid,0.6666666865348816,0.6666666666666666,0.6484848580577157,-0.01818180860895091,frozen_high_retrained_high
GradDiff,13,lucky,mid,1.0,0.3333333333333333,0.2969697052782232,-0.03636362805511012,frozen_low_retrained_low
GradDiff,16,suppressed,mid,0.3333333432674408,1.0,0.24242424693974582,-0.7575757530602542,frozen_high_retrained_low
GradDiff,17,suppressed,mid,0.3333333432674408,0.6666666666666666,0.987878788059408,0.32121212139274136,frozen_high_retrained_high
GradDiff,18,forgotten,mid,0.0,0.3333333333333333,0.2484848537228324,-0.0848484796105009,frozen_low_retrained_low
GradDiff,19,retained,mid,1.0,1.0,0.5878788010640578,-0.41212119893594223,frozen_high_retrained_high
GradDiff,23,retained,mid,0.6666666865348816,0.3333333333333333,0.6424242599443956,0.30909092661106224,frozen_low_retrained_high
GradDiff,26,retained,mid,0.6666666865348816,1.0,0.5939394051378424,-0.4060605948621576,frozen_high_retrained_high
GradDiff,31,suppressed,mid,0.0,1.0,0.49090910120443865,-0.5090908987955614,frozen_high_retrained_low
GradDiff,32,suppressed,mid,0.0,0.0,0.8000000070441853,0.8000000070441853,frozen_low_retrained_high
GradDiff,34,retained,mid,0.6666666865348816,1.0,0.890909096327695,-0.109090903672305,frozen_high_retrained_high
GradDiff,37,suppressed,mid,0.0,0.0,0.3636363679712469,0.3636363679712469,frozen_low_retrained_low
GradDiff,39,retained,mid,1.0,1.0,0.9939393943006342,-0.00606060569936584,frozen_high_retrained_high
GradDiff,41,retained,mid,1.0,1.0,0.9090909134257924,-0.0909090865742076,frozen_high_retrained_high
GradDiff,42,lucky,mid,1.0,0.6666666666666666,0.4060606176202947,-0.2606060490463719,frozen_high_retrained_low
GradDiff,46,suppressed,mid,0.0,0.6666666666666666,0.5696969796310771,-0.0969696870355895,frozen_high_retrained_high
GradDiff,49,retained,mid,1.0,1.0,0.7515151663260027,-0.24848483367399732,frozen_high_retrained_high
GradDiff,50,retained,mid,0.6666666865348816,1.0,0.8000000075860457,-0.19999999241395428,frozen_high_retrained_high
GradDiff,52,lucky,mid,0.6666666865348816,0.3333333333333333,0.551515164158561,0.21818183082522774,frozen_low_retrained_high
GradDiff,54,suppressed,mid,0.3333333432674408,1.0,0.8121212146498941,-0.18787878535010594,frozen_high_retrained_high
GradDiff,57,retained,mid,1.0,1.0,0.9818181829019026,-0.018181817098097408,frozen_high_retrained_high
GradDiff,58,forgotten,mid,0.3333333432674408,0.3333333333333333,0.5636363755572926,0.2303030422239593,frozen_low_retrained_high
GradDiff,59,retained,mid,1.0,1.0,0.9696969709613107,-0.03030302903868931,frozen_high_retrained_high
GradDiff,63,retained,mid,1.0,1.0,0.890909093618393,-0.10909090638160701,frozen_high_retrained_high
GradDiff,65,forgotten,mid,0.0,1.0,0.5939394083890048,-0.40606059161099517,frozen_high_retrained_high
GradDiff,67,retained,mid,1.0,0.6666666666666666,0.6848484987562353,0.018181832089568695,frozen_high_retrained_high
GradDiff,68,retained,mid,1.0,1.0,0.9939393943006342,-0.00606060569936584,frozen_high_retrained_high
GradDiff,70,retained,mid,1.0,1.0,0.8727272803133185,-0.12727271968668152,frozen_high_retrained_high
GradDiff,73,lucky,mid,1.0,1.0,0.9757575772025369,-0.024242422797463137,frozen_high_retrained_high
GradDiff,74,retained,mid,1.0,1.0,0.969696971503171,-0.030303028496828976,frozen_high_retrained_high
GradDiff,76,suppressed,mid,0.0,0.0,0.34545455033128913,0.34545455033128913,frozen_low_retrained_low
GradDiff,81,retained,mid,1.0,1.0,0.6848484911701896,-0.31515150882981036,frozen_high_retrained_high
GradDiff,84,retained,mid,1.0,1.0,0.8242424287579276,-0.17575757124207236,frozen_high_retrained_high
GradDiff,89,suppressed,mid,0.0,1.0,0.2787878838452426,-0.7212121161547573,frozen_high_retrained_low
GradDiff,90,retained,mid,1.0,1.0,1.0,0.0,frozen_high_retrained_high
GradDiff,93,forgotten,mid,0.3333333432674408,0.6666666666666666,0.40606061599471355,-0.2606060506719531,frozen_high_retrained_low
GradDiff,95,retained,mid,1.0,1.0,0.3818181899460879,-0.618181810053912,frozen_high_retrained_low
GradDiff,99,forgotten,mid,0.3333333432674408,0.6666666666666666,0.3393939484249462,-0.32727271824172044,frozen_high_retrained_low
GradDiff,102,retained,mid,0.6666666865348816,0.6666666666666666,0.5939394035122612,-0.07272726315440547,frozen_high_retrained_high
GradDiff,103,forgotten,mid,0.3333333432674408,0.6666666666666666,0.30909091667695476,-0.35757574998971187,frozen_high_retrained_low
GradDiff,104,retained,mid,1.0,1.0,0.49696970798752527,-0.5030302920124747,frozen_high_retrained_low
GradDiff,105,retained,mid,1.0,0.6666666666666666,0.2909090968695554,-0.3757575697971112,frozen_high_retrained_low
GradDiff,106,retained,mid,0.6666666865348816,0.3333333333333333,0.9878787886012684,0.6545454552679351,frozen_low_retrained_high
