method,n_total,n_suppressed,n_forgotten,prop_suppressed,mean_mid_auc_suppressed,mean_mid_auc_forgotten,mid_auc_gap,mean_hkgap_all,mean_hkgap_suppressed,mean_hkgap_forgotten,hkgap_suppressed_minus_forgotten,hidden_knowledge_mass,mean_k_internal_ck8_all,mean_k_external_ck8_all,mean_k_internal_ck8_suppressed,mean_k_external_ck8_suppressed,mean_k_internal_ck8_forgotten,mean_k_external_ck8_forgotten
ELM,307,79,26,0.25732899022801303,0.8199608444008687,0.7532763592662854,0.06668448513458325,0.13029315863836083,0.6708860774583454,0.025641026405187752,0.6452450510531577,0.17263843687038855,0.7828447389680322,0.6525515803296713,0.873417729063879,0.20253165160553366,0.15384615843112653,0.12820513202593878
GradDiff,307,69,17,0.2247557003257329,0.8049698513887975,0.5902601630469553,0.21470968834184223,0.21281215694129274,0.6908212550308394,0.07843137488645666,0.6123898801443827,0.15526601497435802,0.907709014920536,0.6948968579792433,0.9082125658574312,0.21739131082659183,0.2549019683809841,0.17647059349452748
PB_J,307,63,54,0.20521172638436483,0.8158384389161989,0.6740175964338269,0.14182084248237203,0.047774158296833596,0.6825396853779989,0.030864198450688964,0.6516754869273099,0.14006514716226037,0.6634093434686381,0.6156351851718045,0.8624338706334432,0.17989418525544423,0.19135803039427157,0.1604938319435826
RMU,307,60,47,0.19543973941368079,0.7484386406744747,0.6853103483656553,0.06312829230881944,0.03365906539103107,0.6388888935248057,0.03546099396462136,0.6034278995601844,0.12486427886478288,0.6623235673003554,0.6286645019093243,0.8277777880430222,0.18888889451821644,0.19148936740895536,0.15602837344433398
RMU-LAT,307,57,40,0.18566775244299674,0.7439284538582998,0.6910784381033939,0.05285001575490589,-0.007600433566282937,0.6374269044190123,0.0416666679084301,0.5957602365105822,0.11834962069017492,0.6677524494037566,0.6753528829700396,0.8362573197013453,0.1988304152823331,0.20000000596046447,0.15833333805203437
RR,307,66,29,0.21498371335504887,0.7802733267591976,0.6838404387175191,0.09643288804167849,0.0542888166655935,0.6767676784233614,-0.03448275964835595,0.7112504380717173,0.1454940285861298,0.736156357810241,0.6818675411446475,0.8737373812632128,0.19696970283985138,0.14942529180954242,0.18390805145789837
RepNoise,307,106,44,0.34527687296416937,0.8372179103884071,0.7458110582231767,0.09140685216523037,0.22041259477891828,0.7987421410826018,0.01515151560306549,0.7835906254795363,0.27578718877770614,0.723127041461025,0.5027144466821067,0.9025157290809559,0.1037735879983542,0.1818181872367859,0.1666666716337204
TAR,307,86,35,0.28013029315960913,0.7770177896089117,0.6123996335217932,0.1646181560871185,0.18349619797075997,0.6899224824683611,-0.01904761961528233,0.7089701020836434,0.1932681872712673,0.7828447392592601,0.5993485412885001,0.8759689996408861,0.1860465171725251,0.18095238634518215,0.20000000596046447
