fold,model,clf,layer,accuracy,true_accuracy,false_accuracy,precision,recall,f1,auc
0,base,LR,1,0.5826771653543307,0.6220472440944882,0.5433070866141733,0.5766423357664233,0.6220472440944882,0.5984848484848485,0.5855911711823424
0,base,LR,2,0.5767716535433071,0.5551181102362205,0.5984251968503937,0.5802469135802469,0.5551181102362205,0.5674044265593562,0.5852811705623411
0,base,LR,3,0.5531496062992126,0.5433070866141733,0.562992125984252,0.5542168674698795,0.5433070866141733,0.5487077534791253,0.579732159464319
0,base,LR,4,0.5748031496062992,0.5866141732283464,0.562992125984252,0.573076923076923,0.5866141732283464,0.5797665369649806,0.5943951887903776
0,base,LR,5,0.5590551181102362,0.594488188976378,0.5236220472440944,0.5551470588235294,0.594488188976378,0.5741444866920152,0.5855601711203422
0,base,LR,6,0.5964566929133859,0.5708661417322834,0.6220472440944882,0.6016597510373444,0.5708661417322834,0.5858585858585859,0.5885826771653543
0,base,LR,7,0.594488188976378,0.5748031496062992,0.6141732283464567,0.5983606557377049,0.5748031496062992,0.5863453815261044,0.607244714489429
0,base,LR,8,0.5885826771653543,0.6023622047244095,0.5748031496062992,0.5862068965517241,0.6023622047244095,0.5941747572815534,0.6273327546655093
0,base,LR,9,0.6161417322834646,0.6220472440944882,0.610236220472441,0.6147859922178989,0.6220472440944882,0.6183953033268101,0.6376402752805506
0,base,LR,10,0.6200787401574803,0.65748031496063,0.5826771653543307,0.6117216117216118,0.65748031496063,0.6337760910815939,0.6585653171306343
0,base,LR,11,0.6181102362204725,0.6811023622047244,0.5551181102362205,0.6048951048951049,0.6811023622047244,0.6407407407407407,0.6521638043276086
0,base,LR,12,0.6240157480314961,0.6653543307086615,0.5826771653543307,0.6145454545454545,0.6653543307086615,0.6389413988657845,0.6638973277946556
0,base,LR,13,0.6594488188976378,0.6968503937007874,0.6220472440944882,0.6483516483516484,0.6968503937007874,0.6717267552182163,0.7040734081468163
0,base,LR,14,0.6496062992125984,0.6653543307086615,0.6338582677165354,0.6450381679389313,0.6653543307086615,0.6550387596899225,0.707994915989832
0,base,LR,15,0.6673228346456693,0.6692913385826772,0.6653543307086615,0.6666666666666666,0.6692913385826772,0.6679764243614931,0.7210769421538842
0,base,LR,16,0.6476377952755905,0.65748031496063,0.6377952755905512,0.6447876447876448,0.65748031496063,0.6510721247563352,0.7201314402628807
0,base,LR,17,0.6377952755905512,0.6614173228346457,0.6141732283464567,0.631578947368421,0.6614173228346457,0.6461538461538462,0.7164269328538656
0,base,LR,18,0.6417322834645669,0.6614173228346457,0.6220472440944882,0.6363636363636364,0.6614173228346457,0.6486486486486487,0.7156054312108623
0,base,LR,19,0.6751968503937008,0.6732283464566929,0.6771653543307087,0.6758893280632411,0.6732283464566929,0.6745562130177515,0.727028954057908
0,base,LR,20,0.6476377952755905,0.6732283464566929,0.6220472440944882,0.6404494382022472,0.6732283464566929,0.6564299424184261,0.721991443982888
0,base,LR,21,0.65748031496063,0.6771653543307087,0.6377952755905512,0.6515151515151515,0.6771653543307087,0.6640926640926641,0.7222859445718891
0,base,LR,22,0.6732283464566929,0.6968503937007874,0.6496062992125984,0.6654135338345865,0.6968503937007874,0.6807692307692308,0.7251224502449005
0,base,LR,23,0.6732283464566929,0.6929133858267716,0.6535433070866141,0.6666666666666666,0.6929133858267716,0.6795366795366795,0.727710955421911
0,base,LR,24,0.6692913385826772,0.6889763779527559,0.6496062992125984,0.6628787878787878,0.6889763779527559,0.6756756756756757,0.7247969495938993
0,base,LR,25,0.6732283464566929,0.7047244094488189,0.6417322834645669,0.662962962962963,0.7047244094488189,0.683206106870229,0.727788455576911
0,base,LR,26,0.687007874015748,0.7204724409448819,0.6535433070866141,0.6752767527675276,0.7204724409448819,0.6971428571428572,0.726501953003906
0,base,LR,27,0.6535433070866141,0.6811023622047244,0.6259842519685039,0.6455223880597015,0.6811023622047244,0.6628352490421456,0.7196044392088783
0,base,LR,28,0.6594488188976378,0.6771653543307087,0.6417322834645669,0.6539923954372624,0.6771653543307087,0.6653771760154739,0.723246946493893
0,base,LR,29,0.65748031496063,0.6771653543307087,0.6377952755905512,0.6515151515151515,0.6771653543307087,0.6640926640926641,0.7260834521669044
0,base,LR,30,0.6515748031496063,0.6692913385826772,0.6338582677165354,0.6463878326996197,0.6692913385826772,0.6576402321083172,0.7073439146878294
0,base,LR,31,0.6476377952755905,0.6456692913385826,0.6496062992125984,0.6482213438735178,0.6456692913385826,0.6469428007889546,0.7008494016988034
0,base,LR,32,0.6437007874015748,0.6496062992125984,0.6377952755905512,0.642023346303502,0.6496062992125984,0.6457925636007827,0.7003379006758014
0,base,RF,1,0.5866141732283464,0.5669291338582677,0.6062992125984252,0.5901639344262295,0.5669291338582677,0.5783132530120482,0.6195827391654783
0,base,RF,2,0.5551181102362205,0.5393700787401575,0.5708661417322834,0.556910569105691,0.5393700787401575,0.548,0.5897141794283589
0,base,RF,3,0.5570866141732284,0.5275590551181102,0.5866141732283464,0.5606694560669456,0.5275590551181102,0.5436105476673428,0.5936356872713745
0,base,RF,4,0.5708661417322834,0.562992125984252,0.5787401574803149,0.572,0.562992125984252,0.5674603174603174,0.5882959265918533
0,base,RF,5,0.5708661417322834,0.547244094488189,0.594488188976378,0.5743801652892562,0.547244094488189,0.5604838709677419,0.6090969681939364
0,base,RF,6,0.5433070866141733,0.5354330708661418,0.5511811023622047,0.544,0.5354330708661418,0.5396825396825397,0.573477896955794
0,base,RF,7,0.5649606299212598,0.547244094488189,0.5826771653543307,0.5673469387755102,0.547244094488189,0.5571142284569138,0.6047104594209187
0,base,RF,8,0.5748031496062992,0.5275590551181102,0.6220472440944882,0.5826086956521739,0.5275590551181102,0.5537190082644629,0.6147157294314588
0,base,RF,9,0.5728346456692913,0.5551181102362205,0.5905511811023622,0.5755102040816327,0.5551181102362205,0.5651302605210421,0.6074927149854299
0,base,RF,10,0.5866141732283464,0.5236220472440944,0.6496062992125984,0.5990990990990991,0.5236220472440944,0.5588235294117647,0.6038889577779156
0,base,RF,11,0.59251968503937,0.5826771653543307,0.6023622047244095,0.5943775100401606,0.5826771653543307,0.588469184890656,0.6306730113460228
0,base,RF,12,0.6082677165354331,0.5826771653543307,0.6338582677165354,0.6141078838174274,0.5826771653543307,0.597979797979798,0.6326880153760308
0,base,RF,13,0.6279527559055118,0.6417322834645669,0.6141732283464567,0.6245210727969349,0.6417322834645669,0.6330097087378641,0.6910998821997644
0,base,RF,14,0.6259842519685039,0.6377952755905512,0.6141732283464567,0.6230769230769231,0.6377952755905512,0.6303501945525292,0.6800716101432203
0,base,RF,15,0.6220472440944882,0.6141732283464567,0.6299212598425197,0.624,0.6141732283464567,0.6190476190476191,0.6770646041292083
0,base,RF,16,0.6476377952755905,0.6811023622047244,0.6141732283464567,0.6383763837638377,0.6811023622047244,0.659047619047619,0.7183024366048731
0,base,RF,17,0.6141732283464567,0.594488188976378,0.6338582677165354,0.6188524590163934,0.594488188976378,0.606425702811245,0.7068634137268275
