method,pl_lr_acc,pl_lr_true,pl_lr_fals,pl_lr_lyr,pl_lr_prec,pl_lr_rec,pl_lr_f1,pl_lr_auc,pl_rf_acc,pl_rf_true,pl_rf_fals,pl_rf_lyr,pl_rf_prec,pl_rf_rec,pl_rf_f1,pl_rf_auc,pl_adaboost_acc,pl_adaboost_true,pl_adaboost_fals,pl_adaboost_lyr,pl_adaboost_prec,pl_adaboost_rec,pl_adaboost_f1,pl_adaboost_auc,ml_lr_acc,ml_lr_true,ml_lr_fals,ml_lr_prec,ml_lr_rec,ml_lr_f1,ml_lr_auc,ml_rf_acc,ml_rf_true,ml_rf_fals,ml_rf_prec,ml_rf_rec,ml_rf_f1,ml_rf_auc,ml_adaboost_acc,ml_adaboost_true,ml_adaboost_fals,ml_adaboost_prec,ml_adaboost_rec,ml_adaboost_f1,ml_adaboost_auc,vote_lr_acc,vote_lr_true,vote_lr_fals,vote_lr_prec,vote_lr_rec,vote_lr_f1,vote_rf_acc,vote_rf_true,vote_rf_fals,vote_rf_prec,vote_rf_rec,vote_rf_f1,vote_adaboost_acc,vote_adaboost_true,vote_adaboost_fals,vote_adaboost_prec,vote_adaboost_rec,vote_adaboost_f1,avg_lr_acc,avg_lr_true,avg_lr_fals,avg_lr_prec,avg_lr_rec,avg_lr_f1,avg_lr_auc,avg_rf_acc,avg_rf_true,avg_rf_fals,avg_rf_prec,avg_rf_rec,avg_rf_f1,avg_rf_auc,avg_adaboost_acc,avg_adaboost_true,avg_adaboost_fals,avg_adaboost_prec,avg_adaboost_rec,avg_adaboost_f1,avg_adaboost_auc
GradDiff,0.582,0.5649,0.5991,14,0.5849,0.5649,0.5747,0.5863,0.507,0.4709,0.5431,31,0.5075,0.4709,0.4885,0.5118,0.5175,0.5035,0.5315,15,0.518,0.5035,0.5106,0.5307,0.5598,0.5214,0.5983,0.5648,0.5214,0.5422,0.574,0.547,0.5268,0.5672,0.549,0.5268,0.5377,0.5677,0.5427,0.5416,0.5439,0.5428,0.5416,0.5422,0.5586,0.58,0.5758,0.5843,0.5807,0.5758,0.5782,0.5276,0.5276,0.5276,0.5276,0.5276,0.5276,0.5256,0.5524,0.4988,0.5243,0.5524,0.538,0.5843,0.5835,0.5851,0.5844,0.5835,0.584,0.6162,0.5357,0.5509,0.5206,0.5347,0.5509,0.5427,0.5489,0.5183,0.5338,0.5027,0.5177,0.5338,0.5256,0.5385
RMU,0.5758,0.5789,0.5726,24,0.5753,0.5789,0.5771,0.5828,0.5186,0.5051,0.5322,30,0.5192,0.5051,0.512,0.5414,0.5167,0.5509,0.4825,17,0.5156,0.5509,0.5327,0.525,0.5765,0.533,0.62,0.5838,0.533,0.5573,0.5997,0.5567,0.5338,0.5796,0.5594,0.5338,0.5463,0.5827,0.561,0.5532,0.5688,0.562,0.5532,0.5576,0.5747,0.5781,0.5726,0.5835,0.5789,0.5726,0.5758,0.54,0.5478,0.5322,0.5394,0.5478,0.5436,0.5245,0.5346,0.5144,0.524,0.5346,0.5292,0.5785,0.5719,0.5851,0.5795,0.5719,0.5757,0.6216,0.5462,0.5773,0.5152,0.5435,0.5773,0.5599,0.5741,0.5326,0.5462,0.519,0.5318,0.5462,0.5389,0.54
RMU-LAT,0.5723,0.575,0.5695,17,0.5719,0.575,0.5734,0.5822,0.5175,0.4732,0.5618,11,0.5192,0.4732,0.4951,0.5339,0.5152,0.5719,0.4584,6,0.5136,0.5719,0.5412,0.5171,0.5715,0.5408,0.6022,0.5762,0.5408,0.5579,0.5924,0.5455,0.5423,0.5486,0.5457,0.5423,0.544,0.5816,0.5521,0.5517,0.5524,0.5521,0.5517,0.5519,0.5695,0.5761,0.5765,0.5758,0.5761,0.5765,0.5763,0.5369,0.5781,0.4957,0.5341,0.5781,0.5552,0.5268,0.5051,0.5486,0.528,0.5051,0.5163,0.5719,0.5804,0.5633,0.5707,0.5804,0.5755,0.612,0.5435,0.5975,0.4895,0.5393,0.5975,0.5669,0.5618,0.5303,0.5144,0.5462,0.5313,0.5144,0.5227,0.5364
RepNoise,0.5789,0.5447,0.6131,12,0.5847,0.5447,0.564,0.5786,0.5361,0.5346,0.5377,14,0.5362,0.5346,0.5354,0.5508,0.5276,0.5695,0.4856,11,0.5254,0.5695,0.5466,0.5341,0.5726,0.5657,0.5796,0.5737,0.5657,0.5696,0.5883,0.5466,0.512,0.5812,0.5501,0.512,0.5304,0.5751,0.5435,0.5128,0.5742,0.5464,0.5128,0.5291,0.562,0.5921,0.5672,0.6169,0.5969,0.5672,0.5817,0.5396,0.5501,0.5291,0.5388,0.5501,0.5444,0.5186,0.5019,0.5354,0.5193,0.5019,0.5105,0.596,0.5711,0.6208,0.601,0.5711,0.5857,0.6222,0.5381,0.5649,0.5113,0.5361,0.5649,0.5501,0.5621,0.5268,0.5097,0.5439,0.5278,0.5097,0.5186,0.5349
ELM,0.5559,0.5517,0.5602,14,0.5564,0.5517,0.554,0.5591,0.5101,0.4988,0.5214,20,0.5103,0.4988,0.5045,0.5253,0.5167,0.5354,0.4981,22,0.5161,0.5354,0.5256,0.5099,0.5272,0.4841,0.5703,0.5298,0.4841,0.5059,0.5352,0.5291,0.5082,0.5501,0.5304,0.5082,0.519,0.5372,0.5097,0.4716,0.5478,0.5105,0.4716,0.4903,0.5203,0.5591,0.5455,0.5726,0.5607,0.5455,0.553,0.5241,0.5392,0.5089,0.5234,0.5392,0.5312,0.5155,0.54,0.4911,0.5148,0.54,0.5271,0.554,0.5431,0.5649,0.5552,0.5431,0.5491,0.5742,0.5287,0.5532,0.5043,0.5274,0.5532,0.54,0.5383,0.507,0.547,0.467,0.5065,0.547,0.526,0.5169
RR,0.5695,0.5711,0.568,14,0.5693,0.5711,0.5702,0.5864,0.5342,0.5245,0.5439,23,0.5349,0.5245,0.5296,0.561,0.521,0.5276,0.5144,22,0.5207,0.5276,0.5241,0.5259,0.5847,0.5392,0.6301,0.5932,0.5392,0.5649,0.5982,0.5676,0.5478,0.5874,0.5704,0.5478,0.5589,0.6029,0.5521,0.54,0.5641,0.5533,0.54,0.5466,0.5715,0.5816,0.5789,0.5843,0.582,0.5789,0.5804,0.5458,0.5579,0.5338,0.5448,0.5579,0.5512,0.5431,0.5556,0.5307,0.5421,0.5556,0.5487,0.5835,0.5882,0.5789,0.5828,0.5882,0.5855,0.6246,0.5423,0.554,0.5307,0.5414,0.554,0.5476,0.5676,0.5501,0.5532,0.547,0.5498,0.5532,0.5515,0.5631
TAR,0.5563,0.5392,0.5734,31,0.5583,0.5392,0.5486,0.5664,0.528,0.5284,0.5276,20,0.528,0.5284,0.5282,0.5393,0.5136,0.474,0.5532,18,0.5148,0.474,0.4935,0.5238,0.5594,0.5361,0.5828,0.5623,0.5361,0.5489,0.5744,0.5559,0.5486,0.5633,0.5568,0.5486,0.5526,0.5812,0.5416,0.5478,0.5354,0.5411,0.5478,0.5444,0.5517,0.5742,0.5563,0.5921,0.577,0.5563,0.5665,0.5439,0.5214,0.5664,0.546,0.5214,0.5334,0.5291,0.5229,0.5354,0.5295,0.5229,0.5262,0.5715,0.554,0.589,0.5741,0.554,0.5639,0.6182,0.5478,0.5462,0.5493,0.5479,0.5462,0.5471,0.5675,0.5311,0.5315,0.5307,0.5311,0.5315,0.5313,0.539
PB&J,0.5692,0.5462,0.5921,14,0.5725,0.5462,0.559,0.587,0.5237,0.5486,0.4988,20,0.5226,0.5486,0.5353,0.5468,0.5163,0.5113,0.5214,29,0.5165,0.5113,0.5139,0.5217,0.5796,0.5377,0.6216,0.5869,0.5377,0.5612,0.6083,0.5594,0.5113,0.6076,0.5658,0.5113,0.5371,0.5905,0.5462,0.5284,0.5641,0.5479,0.5284,0.538,0.5686,0.5781,0.5618,0.5944,0.5807,0.5618,0.5711,0.535,0.5346,0.5354,0.535,0.5346,0.5348,0.5342,0.5136,0.5548,0.5357,0.5136,0.5244,0.5816,0.5688,0.5944,0.5837,0.5688,0.5762,0.6211,0.5338,0.5602,0.5074,0.5321,0.5602,0.5458,0.5615,0.5392,0.5338,0.5447,0.5397,0.5338,0.5367,0.5461
Llama3-8B,0.5839,0.5695,0.5983,29,0.5864,0.5695,0.5778,0.5998,0.5789,0.5726,0.5851,24,0.5799,0.5726,0.5762,0.632,0.5676,0.5602,0.575,17,0.5686,0.5602,0.5644,0.613,0.5991,0.5952,0.603,0.5998,0.5952,0.5975,0.6322,0.5987,0.5905,0.6068,0.6003,0.5905,0.5954,0.6524,0.5804,0.5369,0.6239,0.5881,0.5369,0.5613,0.6195,0.5905,0.5967,0.5843,0.5894,0.5967,0.5931,0.5839,0.5944,0.5734,0.5822,0.5944,0.5882,0.5874,0.5664,0.6084,0.5912,0.5664,0.5786,0.5901,0.6037,0.5765,0.5877,0.6037,0.5956,0.6331,0.5785,0.5944,0.5625,0.5761,0.5944,0.5851,0.6382,0.5781,0.5493,0.6068,0.5829,0.5493,0.5656,0.6278
