model,clf,layer,mean_accuracy,std_accuracy,ci95_accuracy,mean_true_accuracy,std_true_accuracy,ci95_true_accuracy,mean_false_accuracy,std_false_accuracy,ci95_false_accuracy,mean_precision,std_precision,ci95_precision,mean_recall,std_recall,ci95_recall,mean_f1,std_f1,ci95_f1,mean_auc,std_auc,ci95_auc
ELM,AdaBoost,1,0.5539370078740158,0.017633224942172166,0.024478840539772825,0.553543307086614,0.02653905440370507,0.036842113847872504,0.5543307086614173,0.045465196955124576,0.06311581177145474,0.5549096669001836,0.020083961786277655,0.027881008697245115,0.553543307086614,0.02653905440370507,0.036842113847872504,0.5536204354893259,0.014864756202639409,0.020635589799388402,0.5687689875379751,0.022614584855591455,0.031394076714193586
ELM,AdaBoost,2,0.5433070866141733,0.010781940108369427,0.014967732419209056,0.5448818897637795,0.013546968924476589,0.018806207780314853,0.5417322834645668,0.01485666320008914,0.020624354910729878,0.5432044113373912,0.010992366348048682,0.015259850870790381,0.5448818897637795,0.013546968924476589,0.018806207780314853,0.5439959740554927,0.011230155414982361,0.015589955016269167,0.5577717155434311,0.020418630134515826,0.028345602845910364
ELM,AdaBoost,3,0.537007874015748,0.026539054403705072,0.03684211384787251,0.537007874015748,0.015469986381408282,0.021475783983068812,0.537007874015748,0.038942560689380276,0.05406094100494904,0.5376673426732351,0.02717949207249028,0.03773118386321401,0.537007874015748,0.015469986381408282,0.021475783983068812,0.5372459042782487,0.02099977631215714,0.029152363076068683,0.5509114018228036,0.027889945106221337,0.03871745078720176
ELM,AdaBoost,4,0.5295275590551181,0.031000031000046512,0.04303494216552958,0.5440944881889763,0.022465106484546617,0.03118656746838339,0.5149606299212598,0.05502804790442881,0.07639117712642068,0.5299650791257925,0.03052597521215403,0.04237684722958719,0.5440944881889763,0.022465106484546617,0.03118656746838339,0.5365272903037103,0.022687770787440213,0.031495675075318995,0.5515887531775062,0.02131234061645115,0.02958627189242702
ELM,AdaBoost,5,0.5433070866141733,0.020381384418180763,0.02829389750250633,0.5503937007874016,0.016213590773207887,0.022508072369976616,0.536220472440945,0.027547804227615595,0.038242483103355276,0.5429585667144592,0.020598168034236235,0.028594841407348477,0.5503937007874016,0.016213590773207887,0.022508072369976616,0.546600503463994,0.01781653301545375,0.024733312941175766,0.5623132246264493,0.01655305387770709,0.022979322707417645
ELM,AdaBoost,6,0.5551181102362205,0.009881811337016624,0.013718153358573956,0.5440944881889763,0.04654335970435165,0.06461254161530382,0.5661417322834645,0.03240805610591604,0.04498959437212311,0.5561313738425271,0.007592913045940371,0.010540653130296826,0.5440944881889763,0.04654335970435165,0.06461254161530382,0.5491891599152277,0.0256855231478973,0.035657222509212105,0.5738390476780953,0.01132026446060503,0.01571504642559572
ELM,AdaBoost,7,0.547244094488189,0.016703309791808223,0.023187911356034197,0.5582677165354331,0.015227621736861164,0.021139327917555892,0.536220472440945,0.02218740598992973,0.030801057378888358,0.5463659650977803,0.016662606149426863,0.023131405641707476,0.5582677165354331,0.015227621736861164,0.021139327917555892,0.5522082519648462,0.015184554582802693,0.021079541123015667,0.5672623845247691,0.01222765704404518,0.016974709273988312
ELM,AdaBoost,8,0.5381889763779528,0.007634141507742273,0.01059788741077919,0.5173228346456693,0.018058810930991695,0.025069648607522196,0.5590551181102362,0.02998335868450359,0.04162357472848995,0.5402666190656161,0.009662465074555203,0.013413651930196736,0.5173228346456693,0.018058810930991695,0.025069648607522196,0.528223384928628,0.006937935094128093,0.009631397966135985,0.550491350982702,0.010460178435901296,0.01452105560892686
ELM,AdaBoost,9,0.5314960629921259,0.012449912047907024,0.01728324868277728,0.5322834645669291,0.03594555026933334,0.04990042354946597,0.5307086614173229,0.013269527201852553,0.01842105692393628,0.5309918284598916,0.010484439658074652,0.014554735584701526,0.5322834645669291,0.03594555026933334,0.04990042354946597,0.5313317921213817,0.02260213653660446,0.03137679567703389,0.5506262012524025,0.014171121175542156,0.019672670011499447
ELM,AdaBoost,10,0.5421259842519686,0.0164036745322832,0.02277195093120774,0.5677165354330709,0.027208114241214186,0.03777091780334082,0.5165354330708661,0.04450038157777887,0.06177643330552923,0.5407565829711377,0.016618011268399582,0.02306949802213494,0.5677165354330709,0.027208114241214186,0.03777091780334082,0.5533701878889009,0.014588920406631381,0.02025266832655599,0.5606314712629425,0.010867725563307336,0.015086821722438819
