method,probe_quad,eval_type,clf,n_total,tp,fp,tn,fn,gibberish,precision,recall,f1,auc
GradDiff,method,mb,RF,1146,314,251,322,259,,0.5558,0.548,0.5518,0.5839
GradDiff,method,vote,RF,1146,283,210,363,290,,0.574,0.4939,0.531,
GradDiff,method,avg,RF,1146,303,239,334,270,,0.559,0.5288,0.5435,0.6029
GradDiff,method,fl,RF,1146,290,226,347,283,,0.562,0.5061,0.5326,0.5843
GradDiff,method,ib,RF,1146,259,206,367,314,,0.557,0.452,0.499,0.5744
GradDiff,method,ibe,RF,1146,262,206,367,311,,0.5598,0.4572,0.5034,0.5816
GradDiff,method,eb,RF,1146,287,238,335,286,,0.5467,0.5009,0.5228,0.5713
GradDiff,method,pl,AdaBoost,1146,325,250,323,248,,0.5652,0.5672,0.5662,0.5804
GradDiff,method,mb,AdaBoost,1146,321,244,329,252,,0.5681,0.5602,0.5641,0.583
GradDiff,method,vote,AdaBoost,1146,337,222,351,236,,0.6029,0.5881,0.5954,
GradDiff,method,avg,AdaBoost,1146,321,230,343,252,,0.5826,0.5602,0.5712,0.6083
GradDiff,method,fl,AdaBoost,1146,313,259,314,260,,0.5472,0.5462,0.5467,0.5742
GradDiff,method,ib,AdaBoost,1146,297,243,330,276,,0.55,0.5183,0.5337,0.5578
GradDiff,method,ibe,AdaBoost,1146,314,250,323,259,,0.5567,0.548,0.5523,0.5637
GradDiff,method,eb,AdaBoost,1146,295,250,323,278,,0.5413,0.5148,0.5277,0.5575
GradDiff,cross,pl,LR,1146,1,3,570,572,,0.25,0.0017,0.0035,0.4803
GradDiff,cross,mb,LR,1146,512,481,92,61,,0.5156,0.8935,0.6539,0.6029
GradDiff,cross,vote,LR,1146,370,329,244,203,,0.5293,0.6457,0.5818,
GradDiff,cross,avg,LR,1146,369,326,247,204,,0.5309,0.644,0.582,0.5651
GradDiff,cross,fl,LR,1146,461,377,196,112,,0.5501,0.8045,0.6534,0.6364
GradDiff,cross,ib,LR,1146,571,571,2,2,,0.5,0.9965,0.6659,0.6158
GradDiff,cross,ibe,LR,1146,571,571,2,2,,0.5,0.9965,0.6659,0.6158
GradDiff,cross,eb,LR,1146,551,546,27,22,,0.5023,0.9616,0.6599,0.5317
GradDiff,cross,pl,RF,1146,271,261,312,302,,0.5094,0.4729,0.4905,0.5192
GradDiff,cross,mb,RF,1146,297,267,306,276,,0.5266,0.5183,0.5224,0.5371
GradDiff,cross,vote,RF,1146,437,424,149,136,,0.5075,0.7627,0.6095,
GradDiff,cross,avg,RF,1146,531,527,46,42,,0.5019,0.9267,0.6511,0.5117
GradDiff,cross,fl,RF,1146,378,409,164,195,,0.4803,0.6597,0.5559,0.4693
GradDiff,cross,ib,RF,1146,482,475,98,91,,0.5037,0.8412,0.6301,0.5217
GradDiff,cross,ibe,RF,1146,482,476,97,91,,0.5031,0.8412,0.6297,0.5245
GradDiff,cross,eb,RF,1146,32,30,543,541,,0.5161,0.0558,0.1008,0.4956
GradDiff,cross,pl,AdaBoost,1146,519,503,70,54,,0.5078,0.9058,0.6508,0.5381
GradDiff,cross,mb,AdaBoost,1146,113,100,473,460,,0.5305,0.1972,0.2875,0.5171
GradDiff,cross,vote,AdaBoost,1146,132,129,444,441,,0.5057,0.2304,0.3165,
GradDiff,cross,avg,AdaBoost,1146,239,245,328,334,,0.4938,0.4171,0.4522,0.4999
GradDiff,cross,fl,AdaBoost,1146,129,151,422,444,,0.4607,0.2251,0.3025,0.4788
GradDiff,cross,ib,AdaBoost,1146,228,210,363,345,,0.5205,0.3979,0.451,0.5426
GradDiff,cross,ibe,AdaBoost,1146,153,128,445,420,,0.5445,0.267,0.3583,0.5386
GradDiff,cross,eb,AdaBoost,1146,115,112,461,458,,0.5066,0.2007,0.2875,0.4931
RMU,N/A,gen,-,1146,250,224,275,241,156,0.5274,0.4363,0.4776,
RMU,N/A,logit,-,1146,300,270,303,273,,0.5263,0.5236,0.5249,0.5394
RMU,base,pl,LR,1146,42,33,540,531,,0.56,0.0733,0.1296,0.5127
RMU,base,mb,LR,1146,87,86,487,486,,0.5029,0.1518,0.2332,0.5121
RMU,base,vote,LR,1146,5,4,569,568,,0.5556,0.0087,0.0172,
RMU,base,avg,LR,1146,5,4,569,568,,0.5556,0.0087,0.0172,0.5124
RMU,base,fl,LR,1146,84,62,511,489,,0.5753,0.1466,0.2337,0.5335
RMU,base,ib,LR,1146,223,140,433,350,,0.6143,0.3892,0.4765,0.6154
RMU,base,ibe,LR,1146,223,140,433,350,,0.6143,0.3892,0.4765,0.6154
RMU,base,eb,LR,1146,81,72,501,492,,0.5294,0.1414,0.2231,0.5068
RMU,base,pl,RF,1146,337,350,223,236,,0.4905,0.5881,0.5349,0.512
RMU,base,mb,RF,1146,350,358,215,223,,0.4944,0.6108,0.5464,0.4807
RMU,base,vote,RF,1146,263,247,326,310,,0.5157,0.459,0.4857,
RMU,base,avg,RF,1146,348,342,231,225,,0.5043,0.6073,0.5511,0.5184
RMU,base,fl,RF,1146,279,291,282,294,,0.4895,0.4869,0.4882,0.4743
RMU,base,ib,RF,1146,183,144,429,390,,0.5596,0.3194,0.4067,0.5329
RMU,base,ibe,RF,1146,208,177,396,365,,0.5403,0.363,0.4342,0.5344
RMU,base,eb,RF,1146,211,202,371,362,,0.5109,0.3682,0.428,0.494
RMU,base,pl,AdaBoost,1146,295,270,303,278,,0.5221,0.5148,0.5185,0.5188
RMU,base,mb,AdaBoost,1146,189,170,403,384,,0.5265,0.3298,0.4056,0.5072
