method,probe_quad,eval_type,clf,n_total,tp,fp,tn,fn,gibberish,precision,recall,f1,auc
RepNoise,method,ibe,AdaBoost,1146,257,203,370,316,,0.5587,0.4485,0.4976,0.5622
RepNoise,method,eb,AdaBoost,1146,254,213,360,319,,0.5439,0.4433,0.4885,0.5415
RepNoise,cross,pl,LR,1146,573,573,0,0,,0.5,1.0,0.6667,0.5287
RepNoise,cross,mb,LR,1146,573,571,2,0,,0.5009,1.0,0.6674,0.5774
RepNoise,cross,vote,LR,1146,573,573,0,0,,0.5,1.0,0.6667,
RepNoise,cross,avg,LR,1146,573,573,0,0,,0.5,1.0,0.6667,0.5527
RepNoise,cross,fl,LR,1146,105,32,541,468,,0.7664,0.1832,0.2958,0.6366
RepNoise,cross,ib,LR,1146,38,12,561,535,,0.76,0.0663,0.122,0.6147
RepNoise,cross,ibe,LR,1146,38,12,561,535,,0.76,0.0663,0.122,0.6147
RepNoise,cross,eb,LR,1146,0,0,573,573,,0.0,0.0,0.0,0.5488
RepNoise,cross,pl,RF,1146,219,227,346,354,,0.491,0.3822,0.4298,0.4821
RepNoise,cross,mb,RF,1146,69,78,495,504,,0.4694,0.1204,0.1917,0.4755
RepNoise,cross,vote,RF,1146,253,221,352,320,,0.5338,0.4415,0.4833,
RepNoise,cross,avg,RF,1146,393,362,211,180,,0.5205,0.6859,0.5919,0.539
RepNoise,cross,fl,RF,1146,545,555,18,28,,0.4955,0.9511,0.6515,0.5189
RepNoise,cross,ib,RF,1146,432,452,121,141,,0.4887,0.7539,0.593,0.4932
RepNoise,cross,ibe,RF,1146,412,431,142,161,,0.4887,0.719,0.5819,0.5004
RepNoise,cross,eb,RF,1146,4,6,567,569,,0.4,0.007,0.0137,0.5099
RepNoise,cross,pl,AdaBoost,1146,112,123,450,461,,0.4766,0.1955,0.2772,0.5182
RepNoise,cross,mb,AdaBoost,1146,301,279,294,272,,0.519,0.5253,0.5221,0.5246
RepNoise,cross,vote,AdaBoost,1146,429,433,140,144,,0.4977,0.7487,0.5979,
RepNoise,cross,avg,AdaBoost,1146,503,497,76,70,,0.503,0.8778,0.6395,0.5302
RepNoise,cross,fl,AdaBoost,1146,569,571,2,4,,0.4991,0.993,0.6643,0.5278
RepNoise,cross,ib,AdaBoost,1146,19,8,565,554,,0.7037,0.0332,0.0633,0.5654
RepNoise,cross,ibe,AdaBoost,1146,37,23,550,536,,0.6167,0.0646,0.1169,0.5603
RepNoise,cross,eb,AdaBoost,1146,371,389,184,202,,0.4882,0.6475,0.5566,0.4782
ELM,N/A,gen,-,1146,461,435,138,112,0,0.5145,0.8045,0.6276,
ELM,N/A,logit,-,1146,437,418,155,136,,0.5111,0.7627,0.612,0.5323
ELM,base,pl,LR,1146,573,573,0,0,,0.5,1.0,0.6667,0.4979
ELM,base,mb,LR,1146,450,443,130,123,,0.5039,0.7853,0.6139,0.5272
ELM,base,vote,LR,1146,553,537,36,20,,0.5073,0.9651,0.6651,
ELM,base,avg,LR,1146,555,539,34,18,,0.5073,0.9686,0.6659,0.5269
ELM,base,fl,LR,1146,268,246,327,305,,0.5214,0.4677,0.4931,0.5272
ELM,base,ib,LR,1146,189,109,464,384,,0.6342,0.3298,0.434,0.6144
ELM,base,ibe,LR,1146,189,109,464,384,,0.6342,0.3298,0.434,0.6144
ELM,base,eb,LR,1146,231,213,360,342,,0.5203,0.4031,0.4543,0.5204
ELM,base,pl,RF,1146,153,136,437,420,,0.5294,0.267,0.355,0.5204
ELM,base,mb,RF,1146,252,250,323,321,,0.502,0.4398,0.4688,0.4954
ELM,base,vote,RF,1146,275,275,298,298,,0.5,0.4799,0.4898,
ELM,base,avg,RF,1146,380,378,195,193,,0.5013,0.6632,0.571,0.4887
ELM,base,fl,RF,1146,136,149,424,437,,0.4772,0.2373,0.317,0.5005
ELM,base,ib,RF,1146,334,328,245,239,,0.5045,0.5829,0.5409,0.5052
ELM,base,ibe,RF,1146,381,375,198,192,,0.504,0.6649,0.5734,0.5016
ELM,base,eb,RF,1146,183,200,373,390,,0.4778,0.3194,0.3828,0.4804
ELM,base,pl,AdaBoost,1146,549,549,24,24,,0.5,0.9581,0.6571,0.5097
ELM,base,mb,AdaBoost,1146,32,38,535,541,,0.4571,0.0558,0.0995,0.5022
ELM,base,vote,AdaBoost,1146,392,374,199,181,,0.5117,0.6841,0.5855,
ELM,base,avg,AdaBoost,1146,40,34,539,533,,0.5405,0.0698,0.1236,0.5193
ELM,base,fl,AdaBoost,1146,569,570,3,4,,0.4996,0.993,0.6647,0.5158
ELM,base,ib,AdaBoost,1146,328,282,291,245,,0.5377,0.5724,0.5545,0.5564
ELM,base,ibe,AdaBoost,1146,255,207,366,318,,0.5519,0.445,0.4928,0.5653
ELM,base,eb,AdaBoost,1146,328,343,230,245,,0.4888,0.5724,0.5273,0.4947
ELM,method,pl,LR,1146,312,256,317,261,,0.5493,0.5445,0.5469,0.5725
ELM,method,mb,LR,1146,337,230,343,236,,0.5944,0.5881,0.5912,0.616
ELM,method,vote,LR,1146,305,222,351,268,,0.5787,0.5323,0.5545,
ELM,method,avg,LR,1146,304,217,356,269,,0.5835,0.5305,0.5558,0.6206
ELM,method,fl,LR,1146,336,241,332,237,,0.5823,0.5864,0.5843,0.6176
ELM,method,ib,LR,1146,325,227,346,248,,0.5888,0.5672,0.5778,0.6208
ELM,method,ibe,LR,1146,325,227,346,248,,0.5888,0.5672,0.5778,0.6209
ELM,method,eb,LR,1146,327,253,320,246,,0.5638,0.5707,0.5672,0.5957
ELM,method,pl,RF,1146,283,225,348,290,,0.5571,0.4939,0.5236,0.5666
ELM,method,mb,RF,1146,279,229,344,294,,0.5492,0.4869,0.5162,0.5546
ELM,method,vote,RF,1146,293,203,370,280,,0.5907,0.5113,0.5482,
ELM,method,avg,RF,1146,308,222,351,265,,0.5811,0.5375,0.5585,0.6023
ELM,method,fl,RF,1146,267,204,369,306,,0.5669,0.466,0.5115,0.5688
ELM,method,ib,RF,1146,280,226,347,293,,0.5534,0.4887,0.519,0.564
ELM,method,ibe,RF,1146,286,232,341,287,,0.5521,0.4991,0.5243,0.5635
ELM,method,eb,RF,1146,285,230,343,288,,0.5534,0.4974,0.5239,0.5604
ELM,method,pl,AdaBoost,1146,307,286,287,266,,0.5177,0.5358,0.5266,0.5427
ELM,method,mb,AdaBoost,1146,306,258,315,267,,0.5426,0.534,0.5383,0.5535
ELM,method,vote,AdaBoost,1146,331,234,339,242,,0.5858,0.5777,0.5817,
ELM,method,avg,AdaBoost,1146,301,217,356,272,,0.5811,0.5253,0.5518,0.5793
ELM,method,fl,AdaBoost,1146,328,269,304,245,,0.5494,0.5724,0.5607,0.5676
ELM,method,ib,AdaBoost,1146,322,264,309,251,,0.5495,0.562,0.5557,0.5695
ELM,method,ibe,AdaBoost,1146,286,233,340,287,,0.5511,0.4991,0.5238,0.5643
ELM,method,eb,AdaBoost,1146,293,250,323,280,,0.5396,0.5113,0.5251,0.5544
ELM,cross,pl,LR,1146,384,350,223,189,,0.5232,0.6702,0.5876,0.5538
ELM,cross,mb,LR,1146,522,485,88,51,,0.5184,0.911,0.6608,0.5835
ELM,cross,vote,LR,1146,457,400,173,116,,0.5333,0.7976,0.6392,
ELM,cross,avg,LR,1146,466,399,174,107,,0.5387,0.8133,0.6481,0.5916
ELM,cross,fl,LR,1146,261,187,386,312,,0.5826,0.4555,0.5113,0.6015
ELM,cross,ib,LR,1146,535,502,71,38,,0.5159,0.9337,0.6646,0.6136
ELM,cross,ibe,LR,1146,535,502,71,38,,0.5159,0.9337,0.6646,0.6136
ELM,cross,eb,LR,1146,267,233,340,306,,0.534,0.466,0.4977,0.5515
ELM,cross,pl,RF,1146,20,28,545,553,,0.4167,0.0349,0.0644,0.4857
ELM,cross,mb,RF,1146,170,161,412,403,,0.5136,0.2967,0.3761,0.52
ELM,cross,vote,RF,1146,75,68,505,498,,0.5245,0.1309,0.2095,
ELM,cross,avg,RF,1146,83,59,514,490,,0.5845,0.1449,0.2322,0.5362
ELM,cross,fl,RF,1146,139,125,448,434,,0.5265,0.2426,0.3321,0.4969
ELM,cross,ib,RF,1146,296,283,290,277,,0.5112,0.5166,0.5139,0.5147
ELM,cross,ibe,RF,1146,274,258,315,299,,0.515,0.4782,0.4959,0.5147
ELM,cross,eb,RF,1146,229,220,353,344,,0.51,0.3997,0.4481,0.5075
ELM,cross,pl,AdaBoost,1146,326,323,250,247,,0.5023,0.5689,0.5336,0.5024
ELM,cross,mb,AdaBoost,1146,169,166,407,404,,0.5045,0.2949,0.3722,0.4969
ELM,cross,vote,AdaBoost,1146,200,148,425,373,,0.5747,0.349,0.4343,
ELM,cross,avg,AdaBoost,1146,28,21,552,545,,0.5714,0.0489,0.09,0.5386
ELM,cross,fl,AdaBoost,1146,217,213,360,356,,0.5047,0.3787,0.4327,0.5146
ELM,cross,ib,AdaBoost,1146,160,131,442,413,,0.5498,0.2792,0.3704,0.5493
ELM,cross,ibe,AdaBoost,1146,35,22,551,538,,0.614,0.0611,0.1111,0.5434
ELM,cross,eb,AdaBoost,1146,521,499,74,52,,0.5108,0.9092,0.6541,0.5714
RR,N/A,gen,-,1146,81,34,360,304,367,0.7043,0.1414,0.2355,
RR,N/A,logit,-,1146,96,64,509,477,,0.6,0.1675,0.2619,0.5846
RR,base,pl,LR,1146,162,155,418,411,,0.511,0.2827,0.364,0.5034
RR,base,mb,LR,1146,328,274,299,245,,0.5449,0.5724,0.5583,0.5561
RR,base,vote,LR,1146,112,117,456,461,,0.4891,0.1955,0.2793,
RR,base,avg,LR,1146,111,116,457,462,,0.489,0.1937,0.2775,0.5059
RR,base,fl,LR,1146,190,126,447,383,,0.6013,0.3316,0.4274,0.5998
RR,base,ib,LR,1146,211,141,432,362,,0.5994,0.3682,0.4562,0.6209
RR,base,ibe,LR,1146,211,141,432,362,,0.5994,0.3682,0.4562,0.6209
RR,base,eb,LR,1146,384,342,231,189,,0.5289,0.6702,0.5912,0.5406
RR,base,pl,RF,1146,157,147,426,416,,0.5164,0.274,0.358,0.5239
RR,base,mb,RF,1146,168,169,404,405,,0.4985,0.2932,0.3692,0.4929
RR,base,vote,RF,1146,288,279,294,285,,0.5079,0.5026,0.5053,
RR,base,avg,RF,1146,368,359,214,205,,0.5062,0.6422,0.5662,0.5221
RR,base,fl,RF,1146,411,405,168,162,,0.5037,0.7173,0.5918,0.5026
RR,base,ib,RF,1146,254,205,368,319,,0.5534,0.4433,0.4922,0.5574
RR,base,ibe,RF,1146,270,216,357,303,,0.5556,0.4712,0.5099,0.5598
RR,base,eb,RF,1146,97,98,475,476,,0.4974,0.1693,0.2526,0.5086
RR,base,pl,AdaBoost,1146,221,193,380,352,,0.5338,0.3857,0.4478,0.5387
RR,base,mb,AdaBoost,1146,375,350,223,198,,0.5172,0.6545,0.5778,0.5315
RR,base,vote,AdaBoost,1146,358,350,223,215,,0.5056,0.6248,0.5589,
RR,base,avg,AdaBoost,1146,413,393,180,160,,0.5124,0.7208,0.599,0.5295
RR,base,fl,AdaBoost,1146,243,210,363,330,,0.5364,0.4241,0.4737,0.5406
RR,base,ib,AdaBoost,1146,320,257,316,253,,0.5546,0.5585,0.5565,0.5781
RR,base,ibe,AdaBoost,1146,321,244,329,252,,0.5681,0.5602,0.5641,0.5846
RR,base,eb,AdaBoost,1146,106,104,469,467,,0.5048,0.185,0.2708,0.5095
RR,method,pl,LR,1146,307,213,360,266,,0.5904,0.5358,0.5618,0.5997
RR,method,mb,LR,1146,320,227,346,253,,0.585,0.5585,0.5714,0.6211
RR,method,vote,LR,1146,333,201,372,240,,0.6236,0.5812,0.6016,
RR,method,avg,LR,1146,335,206,367,238,,0.6192,0.5846,0.6014,0.6425
RR,method,fl,LR,1146,332,233,340,241,,0.5876,0.5794,0.5835,0.63
RR,method,ib,LR,1146,326,223,350,247,,0.5938,0.5689,0.5811,0.6188
RR,method,ibe,LR,1146,326,223,350,247,,0.5938,0.5689,0.5811,0.6188
RR,method,eb,LR,1146,320,250,323,253,,0.5614,0.5585,0.5599,0.6016
RR,method,pl,RF,1146,297,251,322,276,,0.542,0.5183,0.5299,0.5657
RR,method,mb,RF,1146,256,228,345,317,,0.5289,0.4468,0.4844,0.5426
RR,method,vote,RF,1146,284,224,349,289,,0.5591,0.4956,0.5254,
RR,method,avg,RF,1146,297,237,336,276,,0.5562,0.5183,0.5366,0.5673
RR,method,fl,RF,1146,237,194,379,336,,0.5499,0.4136,0.4721,0.568
RR,method,ib,RF,1146,252,199,374,321,,0.5588,0.4398,0.4922,0.571
RR,method,ibe,RF,1146,257,202,371,316,,0.5599,0.4485,0.4981,0.5695
RR,method,eb,RF,1146,274,210,363,299,,0.5661,0.4782,0.5184,0.5721
RR,method,pl,AdaBoost,1146,305,246,327,268,,0.5535,0.5323,0.5427,0.5679
RR,method,mb,AdaBoost,1146,287,232,341,286,,0.553,0.5009,0.5256,0.5463
RR,method,vote,AdaBoost,1146,302,247,326,271,,0.5501,0.5271,0.5383,
RR,method,avg,AdaBoost,1146,286,231,342,287,,0.5532,0.4991,0.5248,0.5481
RR,method,fl,AdaBoost,1146,298,246,327,275,,0.5478,0.5201,0.5336,0.554
RR,method,ib,AdaBoost,1146,322,246,327,251,,0.5669,0.562,0.5644,0.583
RR,method,ibe,AdaBoost,1146,322,246,327,251,,0.5669,0.562,0.5644,0.5831
RR,method,eb,AdaBoost,1146,306,265,308,267,,0.5359,0.534,0.535,0.5411
RR,cross,pl,LR,1146,204,129,444,369,,0.6126,0.356,0.4503,0.5994
RR,cross,mb,LR,1146,379,216,357,194,,0.637,0.6614,0.649,0.7109
RR,cross,vote,LR,1146,363,207,366,210,,0.6368,0.6335,0.6352,
RR,cross,avg,LR,1146,367,209,364,206,,0.6372,0.6405,0.6388,0.6892
RR,cross,fl,LR,1146,332,227,346,241,,0.5939,0.5794,0.5866,0.6481
RR,cross,ib,LR,1146,349,251,322,224,,0.5817,0.6091,0.5951,0.6208
RR,cross,ibe,LR,1146,349,251,322,224,,0.5817,0.6091,0.5951,0.6208
RR,cross,eb,LR,1146,336,175,398,237,,0.6575,0.5864,0.6199,0.7006
RR,cross,pl,RF,1146,315,247,326,258,,0.5605,0.5497,0.5551,0.5779
RR,cross,mb,RF,1146,302,237,336,271,,0.5603,0.5271,0.5432,0.5884
RR,cross,vote,RF,1146,332,238,335,241,,0.5825,0.5794,0.5809,
RR,cross,avg,RF,1146,359,263,310,214,,0.5772,0.6265,0.6008,0.6326
RR,cross,fl,RF,1146,247,200,373,326,,0.5526,0.4311,0.4843,0.5661
RR,cross,ib,RF,1146,287,240,333,286,,0.5446,0.5009,0.5218,0.5594
RR,cross,ibe,RF,1146,289,243,330,284,,0.5432,0.5044,0.5231,0.5564
RR,cross,eb,RF,1146,340,229,344,233,,0.5975,0.5934,0.5954,0.6229
RR,cross,pl,AdaBoost,1146,292,244,329,281,,0.5448,0.5096,0.5266,0.5631
RR,cross,mb,AdaBoost,1146,290,200,373,283,,0.5918,0.5061,0.5456,0.6061
RR,cross,vote,AdaBoost,1146,341,256,317,232,,0.5712,0.5951,0.5829,
RR,cross,avg,AdaBoost,1146,379,342,231,194,,0.5257,0.6614,0.5858,0.5614
RR,cross,fl,AdaBoost,1146,262,207,366,311,,0.5586,0.4572,0.5029,0.5766
RR,cross,ib,AdaBoost,1146,362,302,271,211,,0.5452,0.6318,0.5853,0.5679
RR,cross,ibe,AdaBoost,1146,362,302,271,211,,0.5452,0.6318,0.5853,0.5678
RR,cross,eb,AdaBoost,1146,324,250,323,249,,0.5645,0.5654,0.565,0.5907
TAR,N/A,gen,-,1146,0,0,573,573,0,0.0,0.0,0.0,
TAR,N/A,logit,-,1146,0,0,573,573,,0.0,0.0,0.0,0.5358
TAR,base,pl,LR,1146,573,573,0,0,,0.5,1.0,0.6667,0.5
TAR,base,mb,LR,1146,126,82,491,447,,0.6058,0.2199,0.3227,0.5357
TAR,base,vote,LR,1146,0,0,573,573,,0.0,0.0,0.0,
TAR,base,avg,LR,1146,0,0,573,573,,0.0,0.0,0.0,0.4962
TAR,base,fl,LR,1146,321,287,286,252,,0.528,0.5602,0.5436,0.546
TAR,base,ib,LR,1146,0,0,573,573,,0.0,0.0,0.0,0.5817
TAR,base,ibe,LR,1146,0,0,573,573,,0.0,0.0,0.0,0.5817
TAR,base,eb,LR,1146,51,45,528,522,,0.5312,0.089,0.1525,0.5391
TAR,base,pl,RF,1146,184,186,387,389,,0.4973,0.3211,0.3902,0.4995
TAR,base,mb,RF,1146,365,386,187,208,,0.486,0.637,0.5514,0.4855
TAR,base,vote,RF,1146,383,404,169,190,,0.4867,0.6684,0.5632,
TAR,base,avg,RF,1146,462,473,100,111,,0.4941,0.8063,0.6127,0.4727
TAR,base,fl,RF,1146,292,308,265,281,,0.4867,0.5096,0.4979,0.4817
TAR,base,ib,RF,1146,543,551,22,30,,0.4963,0.9476,0.6515,0.4821
TAR,base,ibe,RF,1146,528,538,35,45,,0.4953,0.9215,0.6443,0.4835
TAR,base,eb,RF,1146,158,159,414,415,,0.4984,0.2757,0.3551,0.4981
TAR,base,pl,AdaBoost,1146,561,561,12,12,,0.5,0.9791,0.6619,0.5047
TAR,base,mb,AdaBoost,1146,59,54,519,514,,0.5221,0.103,0.172,0.5017
TAR,base,vote,AdaBoost,1146,42,31,542,531,,0.5753,0.0733,0.13,
TAR,base,avg,AdaBoost,1146,55,39,534,518,,0.5851,0.096,0.1649,0.5414
TAR,base,fl,AdaBoost,1146,123,117,456,450,,0.5125,0.2147,0.3026,0.5063
TAR,base,ib,AdaBoost,1146,550,543,30,23,,0.5032,0.9599,0.6603,0.5253
TAR,base,ibe,AdaBoost,1146,571,571,2,2,,0.5,0.9965,0.6659,0.5038
TAR,base,eb,AdaBoost,1146,0,0,573,573,,0.0,0.0,0.0,0.5036
TAR,method,pl,LR,1146,336,244,329,237,,0.5793,0.5864,0.5828,0.6091
TAR,method,mb,LR,1146,332,233,340,241,,0.5876,0.5794,0.5835,0.6371
TAR,method,vote,LR,1146,329,223,350,244,,0.596,0.5742,0.5849,
TAR,method,avg,LR,1146,333,229,344,240,,0.5925,0.5812,0.5868,0.6294
TAR,method,fl,LR,1146,317,205,368,256,,0.6073,0.5532,0.579,0.6468
TAR,method,ib,LR,1146,314,203,370,259,,0.6074,0.548,0.5761,0.6289
TAR,method,ibe,LR,1146,314,203,370,259,,0.6074,0.548,0.5761,0.6289
TAR,method,eb,LR,1146,313,228,345,260,,0.5786,0.5462,0.5619,0.6153
TAR,method,pl,RF,1146,306,237,336,267,,0.5635,0.534,0.5484,0.5984
TAR,method,mb,RF,1146,284,227,346,289,,0.5558,0.4956,0.524,0.5636
TAR,method,vote,RF,1146,287,212,361,286,,0.5752,0.5009,0.5354,
TAR,method,avg,RF,1146,305,237,336,268,,0.5627,0.5323,0.5471,0.5889
TAR,method,fl,RF,1146,277,192,381,296,,0.5906,0.4834,0.5317,0.5844
TAR,method,ib,RF,1146,266,240,333,307,,0.5257,0.4642,0.493,0.5367
TAR,method,ibe,RF,1146,260,238,335,313,,0.5221,0.4538,0.4855,0.5368
TAR,method,eb,RF,1146,273,214,359,300,,0.5606,0.4764,0.5151,0.5729
TAR,method,pl,AdaBoost,1146,316,247,326,257,,0.5613,0.5515,0.5563,0.5737
TAR,method,mb,AdaBoost,1146,303,238,335,270,,0.5601,0.5288,0.544,0.5653
TAR,method,vote,AdaBoost,1146,322,230,343,251,,0.5833,0.562,0.5724,
TAR,method,avg,AdaBoost,1146,326,222,351,247,,0.5949,0.5689,0.5816,0.6141
TAR,method,fl,AdaBoost,1146,305,256,317,268,,0.5437,0.5323,0.5379,0.5546
TAR,method,ib,AdaBoost,1146,267,231,342,306,,0.5361,0.466,0.4986,0.5462
TAR,method,ibe,AdaBoost,1146,278,247,326,295,,0.5295,0.4852,0.5064,0.5317
TAR,method,eb,AdaBoost,1146,314,260,313,259,,0.547,0.548,0.5475,0.5603
TAR,cross,pl,LR,1146,488,461,112,85,,0.5142,0.8517,0.6413,0.5446
TAR,cross,mb,LR,1146,573,573,0,0,,0.5,1.0,0.6667,0.6775
TAR,cross,vote,LR,1146,284,236,337,289,,0.5462,0.4956,0.5197,
TAR,cross,avg,LR,1146,278,228,345,295,,0.5494,0.4852,0.5153,0.5717
TAR,cross,fl,LR,1146,570,538,35,3,,0.5144,0.9948,0.6782,0.6813
TAR,cross,ib,LR,1146,553,527,46,20,,0.512,0.9651,0.6691,0.5977
TAR,cross,ibe,LR,1146,553,527,46,20,,0.512,0.9651,0.6691,0.5977
TAR,cross,eb,LR,1146,572,566,7,1,,0.5026,0.9983,0.6686,0.654
TAR,cross,pl,RF,1146,233,243,330,340,,0.4895,0.4066,0.4442,0.4733
TAR,cross,mb,RF,1146,16,30,543,557,,0.3478,0.0279,0.0517,0.5065
TAR,cross,vote,RF,1146,166,153,420,407,,0.5204,0.2897,0.3722,
TAR,cross,avg,RF,1146,220,207,366,353,,0.5152,0.3839,0.44,0.5046
TAR,cross,fl,RF,1146,512,504,69,61,,0.5039,0.8935,0.6444,0.5234
TAR,cross,ib,RF,1146,96,87,486,477,,0.5246,0.1675,0.254,0.4903
TAR,cross,ibe,RF,1146,209,219,354,364,,0.4883,0.3647,0.4176,0.4888
TAR,cross,eb,RF,1146,475,469,104,98,,0.5032,0.829,0.6262,0.5074
TAR,cross,pl,AdaBoost,1146,0,0,573,573,,0.0,0.0,0.0,0.5113
TAR,cross,mb,AdaBoost,1146,525,514,59,48,,0.5053,0.9162,0.6514,0.5783
TAR,cross,vote,AdaBoost,1146,564,555,18,9,,0.504,0.9843,0.6667,
TAR,cross,avg,AdaBoost,1146,509,486,87,64,,0.5116,0.8883,0.6492,0.5674
TAR,cross,fl,AdaBoost,1146,558,552,21,15,,0.5027,0.9738,0.6631,0.5308
TAR,cross,ib,AdaBoost,1146,199,187,386,374,,0.5155,0.3473,0.415,0.5228
TAR,cross,ibe,AdaBoost,1146,357,342,231,216,,0.5107,0.623,0.5613,0.5223
TAR,cross,eb,AdaBoost,1146,425,428,145,148,,0.4982,0.7417,0.5961,0.5106
PB&J,N/A,gen,-,1146,203,173,287,221,262,0.5399,0.3543,0.4278,
PB&J,N/A,logit,-,1146,223,193,380,350,,0.5361,0.3892,0.451,0.5512
PB&J,base,pl,LR,1146,150,116,457,423,,0.5639,0.2618,0.3576,0.5015
PB&J,base,mb,LR,1146,400,341,232,173,,0.5398,0.6981,0.6088,0.5656
PB&J,base,vote,LR,1146,158,111,462,415,,0.5874,0.2757,0.3753,
PB&J,base,avg,LR,1146,153,113,460,420,,0.5752,0.267,0.3647,0.5529
PB&J,base,fl,LR,1146,270,211,362,303,,0.5613,0.4712,0.5123,0.5822
PB&J,base,ib,LR,1146,139,99,474,434,,0.584,0.2426,0.3428,0.5566
PB&J,base,ibe,LR,1146,139,99,474,434,,0.584,0.2426,0.3428,0.5566
PB&J,base,eb,LR,1146,215,177,396,358,,0.5485,0.3752,0.4456,0.533
PB&J,base,pl,RF,1146,169,140,433,404,,0.5469,0.2949,0.3832,0.5494
PB&J,base,mb,RF,1146,380,358,215,193,,0.5149,0.6632,0.5797,0.5184
PB&J,base,vote,RF,1146,188,160,413,385,,0.5402,0.3281,0.4083,
PB&J,base,avg,RF,1146,233,210,363,340,,0.526,0.4066,0.4587,0.5459
PB&J,base,fl,RF,1146,356,344,229,217,,0.5086,0.6213,0.5593,0.5252
PB&J,base,ib,RF,1146,133,155,418,440,,0.4618,0.2321,0.3089,0.5123
PB&J,base,ibe,RF,1146,143,158,415,430,,0.4751,0.2496,0.3272,0.5121
PB&J,base,eb,RF,1146,154,135,438,419,,0.5329,0.2688,0.3573,0.5299
PB&J,base,pl,AdaBoost,1146,475,427,146,98,,0.5266,0.829,0.6441,0.5296
PB&J,base,mb,AdaBoost,1146,82,57,516,491,,0.5899,0.1431,0.2303,0.5334
PB&J,base,vote,AdaBoost,1146,255,206,367,318,,0.5531,0.445,0.4932,
PB&J,base,avg,AdaBoost,1146,421,368,205,152,,0.5336,0.7347,0.6182,0.545
PB&J,base,fl,AdaBoost,1146,226,200,373,347,,0.5305,0.3944,0.4525,0.5075
PB&J,base,ib,AdaBoost,1146,126,123,450,447,,0.506,0.2199,0.3066,0.5196
PB&J,base,ibe,AdaBoost,1146,185,165,408,388,,0.5286,0.3229,0.4009,0.5291
PB&J,base,eb,AdaBoost,1146,104,75,498,469,,0.581,0.1815,0.2766,0.5216
PB&J,method,pl,LR,1146,330,269,304,243,,0.5509,0.5759,0.5631,0.5734
PB&J,method,mb,LR,1146,333,251,322,240,,0.5702,0.5812,0.5756,0.5852
PB&J,method,vote,LR,1146,337,254,319,236,,0.5702,0.5881,0.579,
PB&J,method,avg,LR,1146,336,255,318,237,,0.5685,0.5864,0.5773,0.596
PB&J,method,fl,LR,1146,333,248,325,240,,0.5731,0.5812,0.5771,0.611
PB&J,method,ib,LR,1146,311,229,344,262,,0.5759,0.5428,0.5588,0.6028
PB&J,method,ibe,LR,1146,311,229,344,262,,0.5759,0.5428,0.5588,0.6029
PB&J,method,eb,LR,1146,334,270,303,239,,0.553,0.5829,0.5675,0.5812
PB&J,method,pl,RF,1146,287,253,320,286,,0.5315,0.5009,0.5157,0.5696
PB&J,method,mb,RF,1146,311,248,325,262,,0.5564,0.5428,0.5495,0.5701
PB&J,method,vote,RF,1146,268,228,345,305,,0.5403,0.4677,0.5014,
PB&J,method,avg,RF,1146,282,237,336,291,,0.5434,0.4921,0.5165,0.5535
PB&J,method,fl,RF,1146,235,198,375,338,,0.5427,0.4101,0.4672,0.5638
PB&J,method,ib,RF,1146,228,201,372,345,,0.5315,0.3979,0.4551,0.5521
PB&J,method,ibe,RF,1146,246,202,371,327,,0.5491,0.4293,0.4819,0.5624
PB&J,method,eb,RF,1146,267,260,313,306,,0.5066,0.466,0.4855,0.5266
PB&J,method,pl,AdaBoost,1146,315,244,329,258,,0.5635,0.5497,0.5565,0.5831
PB&J,method,mb,AdaBoost,1146,309,273,300,264,,0.5309,0.5393,0.5351,0.5384
PB&J,method,vote,AdaBoost,1146,313,246,327,260,,0.5599,0.5462,0.553,
PB&J,method,avg,AdaBoost,1146,310,252,321,263,,0.5516,0.541,0.5463,0.5687
PB&J,method,fl,AdaBoost,1146,279,250,323,294,,0.5274,0.4869,0.5064,0.5294
PB&J,method,ib,AdaBoost,1146,284,240,333,289,,0.542,0.4956,0.5178,0.5535
PB&J,method,ibe,AdaBoost,1146,282,256,317,291,,0.5242,0.4921,0.5077,0.5413
PB&J,method,eb,AdaBoost,1146,271,255,318,302,,0.5152,0.4729,0.4932,0.5352
PB&J,cross,pl,LR,1146,202,95,478,371,,0.6801,0.3525,0.4644,0.6575
PB&J,cross,mb,LR,1146,280,130,443,293,,0.6829,0.4887,0.5697,0.7041
PB&J,cross,vote,LR,1146,242,118,455,331,,0.6722,0.4223,0.5188,
PB&J,cross,avg,LR,1146,256,130,443,317,,0.6632,0.4468,0.5339,0.6595
PB&J,cross,fl,LR,1146,407,305,268,166,,0.5716,0.7103,0.6335,0.6476
PB&J,cross,ib,LR,1146,384,312,261,189,,0.5517,0.6702,0.6052,0.6018
PB&J,cross,ibe,LR,1146,384,312,261,189,,0.5517,0.6702,0.6052,0.6018
PB&J,cross,eb,LR,1146,408,266,307,165,,0.6053,0.712,0.6544,0.6793
PB&J,cross,pl,RF,1146,286,234,339,287,,0.55,0.4991,0.5233,0.5707
PB&J,cross,mb,RF,1146,340,232,341,233,,0.5944,0.5934,0.5939,0.6261
PB&J,cross,vote,RF,1146,415,324,249,158,,0.5616,0.7243,0.6326,
PB&J,cross,avg,RF,1146,437,349,224,136,,0.556,0.7627,0.6431,0.6487
PB&J,cross,fl,RF,1146,296,224,349,277,,0.5692,0.5166,0.5416,0.575
