model,probe_type,clf,n_folds_complete,mean_n_test,mean_best_layer,std_best_layer,mean_accuracy,std_accuracy,mean_true_accuracy,std_true_accuracy,mean_false_accuracy,std_false_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,mean_auc,std_auc
base,vote_ensemble,LR,5,508.0,,,0.6716535433070867,0.006516907620963314,0.6771653543307086,0.021990929202785732,0.6661417322834645,0.0282149179010534,0.6703585768711879,0.013178235837196843,0.6771653543307086,0.021990929202785732,0.6733356399556467,0.007387228452141023,,
base,vote_ensemble,RF,5,508.0,,,0.6586614173228347,0.012044927984864872,0.6291338582677165,0.015429856647453062,0.6881889763779527,0.024699822269855266,0.6690399934235014,0.016585728129911836,0.6291338582677165,0.015429856647453062,0.6482715100545839,0.011059974885567713,,
base,vote_ensemble,AdaBoost,5,508.0,,,0.6744094488188976,0.01248720592689266,0.6889763779527559,0.01056410068110135,0.6598425196850395,0.018058810930991685,0.6696149496597451,0.013894259760275906,0.6889763779527559,0.01056410068110135,0.6791171362992371,0.011211394102791617,,
base,avg_ensemble,LR,5,508.0,,,0.6700787401574804,0.012172932939953002,0.6763779527559055,0.01785162842323564,0.663779527559055,0.036305958687869316,0.6689280281287425,0.020389518894560792,0.6763779527559055,0.01785162842323564,0.672175598649959,0.007495551816457684,0.7335420670841343,0.008495207126014554
base,avg_ensemble,RF,5,508.0,,,0.6547244094488189,0.012109099605692704,0.6472440944881889,0.015865702109929065,0.6622047244094488,0.017500874622750295,0.6571946590792829,0.01349549550229311,0.6472440944881889,0.015865702109929065,0.6520905206706707,0.01248581803218427,0.7298825097650197,0.01298094365614145
base,avg_ensemble,AdaBoost,5,508.0,,,0.6657480314960631,0.006750562283260749,0.6740157480314961,0.02507351705211127,0.6574803149606299,0.02539293778991669,0.6634411533365465,0.010837585917205562,0.6740157480314961,0.02507351705211127,0.668303831887948,0.010168693645919004,0.746732593465187,0.004419693527235253
GradDiff,per_layer,LR,5,508.0,16.0,5.692099788303083,0.5956692913385828,0.014867092589369474,0.5937007874015748,0.011246343981957275,0.5976377952755906,0.03787720778206516,0.5969116464821108,0.019028623067819384,0.5937007874015748,0.011246343981957275,0.5949719032277326,0.0069260992083945245,0.625996651993304,0.019905374687108523
GradDiff,per_layer,RF,5,508.0,6.2,3.3105890714493698,0.5610236220472441,0.008625552086695513,0.5307086614173228,0.03002468655895688,0.5913385826771653,0.03603168878314188,0.5654840806401529,0.011810494392536388,0.5307086614173228,0.03002468655895688,0.5469194620130564,0.014233880888855615,0.5894196788393578,0.010685294628676767
GradDiff,per_layer,AdaBoost,5,508.0,14.6,6.6211781428987395,0.5582677165354331,0.007932851054964508,0.5834645669291338,0.016213590773207897,0.5330708661417323,0.018732877564362718,0.5555644331065903,0.007981570936387966,0.5834645669291338,0.016213590773207897,0.5690452263668845,0.009157370871516917,0.5738266476532954,0.015100409109143694
GradDiff,mid_band,LR,5,508.0,,,0.6196850393700787,0.016394222687918916,0.621259842519685,0.0402577103343755,0.6181102362204725,0.025270561473828675,0.6192625263191309,0.01456770116461816,0.621259842519685,0.0402577103343755,0.6197215313127825,0.023711152265961318,0.664464628929258,0.012064368651337762
GradDiff,mid_band,RF,5,508.0,,,0.5574803149606299,0.01993541559239707,0.5448818897637795,0.033922297997697685,0.5700787401574803,0.020743212397353522,0.5586949365334306,0.01903973335178675,0.5448818897637795,0.033922297997697685,0.5514704764096312,0.025314690910055268,0.5936868373736748,0.02512045442187299
GradDiff,mid_band,AdaBoost,5,508.0,,,0.5720472440944881,0.006174955567463817,0.568503937007874,0.01822966441384288,0.5755905511811024,0.016403674532283197,0.5726074649459042,0.006424739091351927,0.568503937007874,0.01822966441384288,0.5703975037930371,0.009985190077260068,0.5954538409076818,0.010174744559019334
GradDiff,full_layer,LR,5,508.0,,,0.6244094488188976,0.013546968924476554,0.6322834645669291,0.020623308431037476,0.6165354330708661,0.008838560756158902,0.6223467098256027,0.011718161016679468,0.6322834645669291,0.020623308431037476,0.6272339049865547,0.015828625063917277,0.6608841217682435,0.017686163240234733
GradDiff,full_layer,RF,5,508.0,,,0.5692913385826771,0.02256149414471558,0.526771653543307,0.039480161060540725,0.6118110236220472,0.027230892072111153,0.5754128246423778,0.02450273679478027,0.526771653543307,0.039480161060540725,0.5496065821507329,0.030948075794772358,0.5844023188046377,0.023699051474012908
GradDiff,full_layer,AdaBoost,5,508.0,,,0.5551181102362205,0.010924753484654789,0.562992125984252,0.024775012161499597,0.547244094488189,0.0330333495486662,0.554650803976405,0.01240339225185878,0.562992125984252,0.024775012161499597,0.5583933977916575,0.012461603685032189,0.5758432016864032,0.011508953484505513
GradDiff,init_band,LR,5,508.0,,,0.6062992125984252,0.015197054382376998,0.5976377952755906,0.043156502696203816,0.6149606299212598,0.015629474993133205,0.6076977256196978,0.009872196603517522,0.5976377952755906,0.043156502696203816,0.6021092427566004,0.026509162051389975,0.6351447702895406,0.009145995527912865
GradDiff,init_band,RF,5,508.0,,,0.5421259842519686,0.005369362872829068,0.4850393700787402,0.0319261967444304,0.5992125984251968,0.023278339368652735,0.5474415216497936,0.003911609788561835,0.4850393700787402,0.0319261967444304,0.5138676241680917,0.01874188382219229,0.5607322214644428,0.009908197169722171
GradDiff,init_band,AdaBoost,5,508.0,,,0.5519685039370078,0.023805065287922783,0.5236220472440944,0.02268481935572903,0.5803149606299213,0.04895839860381043,0.5565134335579941,0.02938828852175783,0.5236220472440944,0.02268481935572903,0.538968965469947,0.018359869699566433,0.5674545849091699,0.02153715357943296
GradDiff,init_band_emb,LR,5,508.0,,,0.6062992125984252,0.015197054382376998,0.5976377952755906,0.043156502696203816,0.6149606299212598,0.015629474993133205,0.6076977256196978,0.009872196603517522,0.5976377952755906,0.043156502696203816,0.6021092427566004,0.026509162051389975,0.6351571703143406,0.009133353776804638
GradDiff,init_band_emb,RF,5,508.0,,,0.544488188976378,0.00885608021984411,0.4795275590551181,0.02531958297765909,0.6094488188976378,0.025684262094960778,0.5513027215697455,0.010621882169971834,0.4795275590551181,0.02531958297765909,0.5125303166223398,0.015390712061199609,0.5659216318432637,0.009319556532699851
GradDiff,init_band_emb,AdaBoost,5,508.0,,,0.5511811023622046,0.022131447752055434,0.5149606299212598,0.0313381869954841,0.5874015748031496,0.0446394890804988,0.5561354936928506,0.027436189555026153,0.5149606299212598,0.0313381869954841,0.5341040051523432,0.022368124539275946,0.5708723417446835,0.018213249016812812
GradDiff,end_band,LR,5,508.0,,,0.6031496062992125,0.010460889965028688,0.6165354330708661,0.025098232205526337,0.589763779527559,0.013952791454070369,0.600364065706285,0.008464159610536325,0.6165354330708661,0.025098232205526337,0.6081652123627541,0.015524235903912009,0.628030256060512,0.017443572641855514
GradDiff,end_band,RF,5,508.0,,,0.5413385826771653,0.019841894753313633,0.511023622047244,0.03585920484011244,0.5716535433070866,0.03240805610591605,0.5439987117465697,0.02046527345920543,0.511023622047244,0.03585920484011244,0.5265429602599458,0.025759568989552232,0.5712195424390849,0.0289117814104575
GradDiff,end_band,AdaBoost,5,508.0,,,0.5496062992125983,0.013432064652938577,0.5377952755905511,0.03535424302463566,0.5614173228346456,0.012349911134927633,0.5503259845333576,0.011854708157582923,0.5377952755905511,0.03535424302463566,0.5436895475882128,0.023836150741069262,0.555730361460723,0.023608181631221217
GradDiff,ib_no_pca,LR,5,508.0,,,0.5759842519685039,0.01046088996502866,0.5803149606299213,0.03055686285343662,0.5716535433070866,0.03542432087937637,0.5757833359013587,0.01287043549631212,0.5803149606299213,0.03055686285343662,0.5774768703861685,0.01497625062815652,0.6032209064418129,0.010941127468986098
GradDiff,ib_no_pca,RF,5,508.0,,,0.5704724409448818,0.01629940279093261,0.5464566929133858,0.0260438352890413,0.594488188976378,0.021274419033238273,0.5739849887865414,0.017155298019348238,0.5464566929133858,0.0260438352890413,0.5597011413652456,0.020175285999987313,0.5977912455824912,0.0162951866448767
GradDiff,ib_no_pca,AdaBoost,5,508.0,,,0.5598425196850394,0.011177220131164067,0.5503937007874015,0.024064105181001768,0.5692913385826771,0.03821940503783181,0.5616499883682546,0.01343529184433061,0.5503937007874015,0.024064105181001768,0.5554567277158583,0.010678202646358626,0.5787200074400148,0.00754162541957822
GradDiff,vote_ensemble,LR,5,508.0,,,0.6082677165354331,0.01729597057991244,0.6181102362204725,0.012449912047906983,0.5984251968503937,0.029775858899510295,0.6066140955421883,0.01915722193159428,0.6181102362204725,0.012449912047906983,0.6121797731112746,0.013684726832744576,,
GradDiff,vote_ensemble,RF,5,508.0,,,0.5748031496062992,0.007151929970309023,0.5141732283464566,0.029941973766663854,0.6354330708661416,0.02931418971493902,0.5854916101039517,0.009686721282111458,0.5141732283464566,0.029941973766663854,0.5469173496383769,0.01621559547970947,,
GradDiff,vote_ensemble,AdaBoost,5,508.0,,,0.5933070866141732,0.010311654215518763,0.5850393700787402,0.013773902113807815,0.6015748031496063,0.01677738248241143,0.5949787869232713,0.011186273671815638,0.5850393700787402,0.013773902113807815,0.5898862337131232,0.010495124946754674,,
GradDiff,avg_ensemble,LR,5,508.0,,,0.6125984251968504,0.023503640246613063,0.6157480314960629,0.019060973916394018,0.6094488188976378,0.030230478457405452,0.6121998827582096,0.024515907386459267,0.6157480314960629,0.019060973916394018,0.6139175282818707,0.021293764293547155,0.6692851385702772,0.01742327480242463
GradDiff,avg_ensemble,RF,5,508.0,,,0.5811023622047243,0.01437951367539346,0.5645669291338582,0.03846196769077106,0.5976377952755906,0.01714294571423407,0.5834980797003626,0.011115187918708283,0.5645669291338582,0.03846196769077106,0.5734554448778426,0.024302897821373383,0.6175847851695704,0.014999570204093355
GradDiff,avg_ensemble,AdaBoost,5,508.0,,,0.5901574803149605,0.012032052590500908,0.5826771653543307,0.018127345564128098,0.5976377952755906,0.027994313125403424,0.5919119793712826,0.01469439302034436,0.5826771653543307,0.018127345564128098,0.5870150222297819,0.011166303632152354,0.6133734267468535,0.010176757087850954
RMU,per_layer,LR,5,508.0,8.4,3.32264954516723,0.5755905511811024,0.011718800052076527,0.573228346456693,0.032042503857284715,0.5779527559055118,0.015227621736861196,0.5757110269729714,0.00948270372881638,0.573228346456693,0.032042503857284715,0.5741872280018344,0.01951669313584061,0.5961404922809845,0.010452320836235655
