model,clf,layer,mean_accuracy,std_accuracy,mean_true_accuracy,std_true_accuracy,mean_false_accuracy,std_false_accuracy,mean_precision,std_precision,mean_recall,std_recall,mean_f1,std_f1,mean_auc,std_auc
ELM,AdaBoost,1,0.5539370078740158,0.017633224942172166,0.553543307086614,0.02653905440370507,0.5543307086614173,0.045465196955124576,0.5549096669001836,0.020083961786277655,0.553543307086614,0.02653905440370507,0.5536204354893259,0.014864756202639409,0.5687689875379751,0.022614584855591455
ELM,AdaBoost,2,0.5433070866141733,0.010781940108369427,0.5448818897637795,0.013546968924476589,0.5417322834645668,0.01485666320008914,0.5432044113373912,0.010992366348048682,0.5448818897637795,0.013546968924476589,0.5439959740554927,0.011230155414982361,0.5577717155434311,0.020418630134515826
ELM,AdaBoost,3,0.537007874015748,0.026539054403705072,0.537007874015748,0.015469986381408282,0.537007874015748,0.038942560689380276,0.5376673426732351,0.02717949207249028,0.537007874015748,0.015469986381408282,0.5372459042782487,0.02099977631215714,0.5509114018228036,0.027889945106221337
ELM,AdaBoost,4,0.5295275590551181,0.031000031000046512,0.5440944881889763,0.022465106484546617,0.5149606299212598,0.05502804790442881,0.5299650791257925,0.03052597521215403,0.5440944881889763,0.022465106484546617,0.5365272903037103,0.022687770787440213,0.5515887531775062,0.02131234061645115
ELM,AdaBoost,5,0.5433070866141733,0.020381384418180763,0.5503937007874016,0.016213590773207887,0.536220472440945,0.027547804227615595,0.5429585667144592,0.020598168034236235,0.5503937007874016,0.016213590773207887,0.546600503463994,0.01781653301545375,0.5623132246264493,0.01655305387770709
ELM,AdaBoost,6,0.5551181102362205,0.009881811337016624,0.5440944881889763,0.04654335970435165,0.5661417322834645,0.03240805610591604,0.5561313738425271,0.007592913045940371,0.5440944881889763,0.04654335970435165,0.5491891599152277,0.0256855231478973,0.5738390476780953,0.01132026446060503
ELM,AdaBoost,7,0.547244094488189,0.016703309791808223,0.5582677165354331,0.015227621736861164,0.536220472440945,0.02218740598992973,0.5463659650977803,0.016662606149426863,0.5582677165354331,0.015227621736861164,0.5522082519648462,0.015184554582802693,0.5672623845247691,0.01222765704404518
ELM,AdaBoost,8,0.5381889763779528,0.007634141507742273,0.5173228346456693,0.018058810930991695,0.5590551181102362,0.02998335868450359,0.5402666190656161,0.009662465074555203,0.5173228346456693,0.018058810930991695,0.528223384928628,0.006937935094128093,0.550491350982702,0.010460178435901296
ELM,AdaBoost,9,0.5314960629921259,0.012449912047907024,0.5322834645669291,0.03594555026933334,0.5307086614173229,0.013269527201852553,0.5309918284598916,0.010484439658074652,0.5322834645669291,0.03594555026933334,0.5313317921213817,0.02260213653660446,0.5506262012524025,0.014171121175542156
ELM,AdaBoost,10,0.5421259842519686,0.0164036745322832,0.5677165354330709,0.027208114241214186,0.5165354330708661,0.04450038157777887,0.5407565829711377,0.016618011268399582,0.5677165354330709,0.027208114241214186,0.5533701878889009,0.014588920406631381,0.5606314712629425,0.010867725563307336
ELM,AdaBoost,11,0.5397637795275589,0.01343206465293858,0.5456692913385827,0.011301338657013622,0.5338582677165353,0.029419750696487255,0.5397044061731157,0.014280152403746313,0.5456692913385827,0.011301338657013622,0.5425059183371618,0.008707169107756789,0.5501116002232005,0.018583563059028304
ELM,AdaBoost,12,0.5322834645669291,0.02287533708084087,0.5401574803149607,0.039085586286585386,0.5244094488188976,0.020593223355310275,0.5313258554325357,0.022016969108788444,0.5401574803149607,0.039085586286585386,0.5354711477518327,0.029136299324086446,0.5565363630727261,0.01998147105658504
