method,subset,eval_type,clf,n_total,tp,fp,tn,fn,gibberish,precision,recall,f1,auc
PB&J,both,probe_ml,RF,1512,394,271,485,362,,0.5925,0.5212,0.5545,0.6278
PB&J,both,probe_vote,RF,1512,425,347,409,331,,0.5505,0.5622,0.5563,
PB&J,both,probe_avg,RF,1512,439,354,402,317,,0.5536,0.5807,0.5668,0.5849
PB&J,both,probe_pl,AdaBoost,1512,395,372,384,361,,0.515,0.5225,0.5187,0.53
PB&J,both,probe_ml,AdaBoost,1512,414,310,446,342,,0.5718,0.5476,0.5595,0.5968
PB&J,both,probe_vote,AdaBoost,1512,422,349,407,334,,0.5473,0.5582,0.5527,
PB&J,both,probe_avg,AdaBoost,1512,422,358,398,334,,0.541,0.5582,0.5495,0.5697
Llama3-8B,og,gen,-,2574,952,911,68,26,617,0.511,0.7397,0.6044,
Llama3-8B,og,logit,-,2574,1075,1001,286,212,,0.5178,0.8353,0.6393,0.5861
Llama3-8B,og,probe_pl,LR,2574,1096,1091,196,191,,0.5011,0.8516,0.631,0.5617
Llama3-8B,og,probe_ml,LR,2574,105,73,1214,1182,,0.5899,0.0816,0.1433,0.5976
Llama3-8B,og,probe_vote,LR,2574,450,355,932,837,,0.559,0.3497,0.4302,
Llama3-8B,og,probe_avg,LR,2574,456,345,942,831,,0.5693,0.3543,0.4368,0.564
Llama3-8B,og,probe_pl,RF,2574,560,509,778,727,,0.5239,0.4351,0.4754,0.5269
Llama3-8B,og,probe_ml,RF,2574,316,327,960,971,,0.4914,0.2455,0.3275,0.4977
Llama3-8B,og,probe_vote,RF,2574,289,289,998,998,,0.5,0.2246,0.3099,
Llama3-8B,og,probe_avg,RF,2574,204,218,1069,1083,,0.4834,0.1585,0.2387,0.4896
Llama3-8B,og,probe_pl,AdaBoost,2574,196,195,1092,1091,,0.5013,0.1523,0.2336,0.5123
Llama3-8B,og,probe_ml,AdaBoost,2574,946,834,453,341,,0.5315,0.735,0.6169,0.5504
Llama3-8B,og,probe_vote,AdaBoost,2574,240,250,1037,1047,,0.4898,0.1865,0.2701,
Llama3-8B,og,probe_avg,AdaBoost,2574,220,222,1065,1067,,0.4977,0.1709,0.2545,0.5153
Llama3-8B,pattern,gen,-,1682,739,698,65,23,157,0.5143,0.8787,0.6488,
Llama3-8B,pattern,logit,-,1682,745,673,168,96,,0.5254,0.8859,0.6596,0.6431
Llama3-8B,pattern,probe_pl,LR,1682,790,782,59,51,,0.5025,0.9394,0.6548,0.6052
Llama3-8B,pattern,probe_ml,LR,1682,62,29,812,779,,0.6813,0.0737,0.133,0.651
