model,balanced_accuracy_mean,balanced_accuracy_standard_deviation,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,macro_f1_mean,macro_f1_standard_deviation,macro_f1_ci95_low,macro_f1_ci95_high,roc_auc_mean,roc_auc_standard_deviation,roc_auc_ci95_low,roc_auc_ci95_high,average_precision_mean,average_precision_standard_deviation,average_precision_ci95_low,average_precision_ci95_high,log_loss_mean,log_loss_standard_deviation,log_loss_ci95_low,log_loss_ci95_high,brier_score_mean,brier_score_standard_deviation,brier_score_ci95_low,brier_score_ci95_high,delta_balanced_accuracy_vs_A_mean,delta_balanced_accuracy_vs_A_standard_deviation,delta_balanced_accuracy_vs_A_ci95_low,delta_balanced_accuracy_vs_A_ci95_high,delta_macro_f1_vs_A_mean,delta_macro_f1_vs_A_standard_deviation,delta_macro_f1_vs_A_ci95_low,delta_macro_f1_vs_A_ci95_high,delta_roc_auc_vs_A_mean,delta_roc_auc_vs_A_standard_deviation,delta_roc_auc_vs_A_ci95_low,delta_roc_auc_vs_A_ci95_high,delta_log_loss_vs_A_mean,delta_log_loss_vs_A_standard_deviation,delta_log_loss_vs_A_ci95_low,delta_log_loss_vs_A_ci95_high,delta_brier_score_vs_A_mean,delta_brier_score_vs_A_standard_deviation,delta_brier_score_vs_A_ci95_low,delta_brier_score_vs_A_ci95_high
Model A,0.5534344750558451,0.025848918455251887,0.49581161578555477,0.5885145197319435,0.5358586868358322,0.024983793512997267,0.4855542886791635,0.5730146262763496,0.545288067758749,0.019841865239064106,0.5108572226358898,0.576136680938198,0.7229492986290569,0.012758463123992422,0.7003860767010399,0.7453043703935178,0.6963577916269464,0.008655931306748405,0.6837486208114539,0.713897166698376,0.2512325788295381,0.004015730042394671,0.24530637322998,0.2592488339150354,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Model B,0.541427773641102,0.02763120022213527,0.4948669024571854,0.5873929635145198,0.5236576630909384,0.02312605563422086,0.4886862758597736,0.5633247215156593,0.5343936150409531,0.02641342154938349,0.4926470588235294,0.5804332650781832,0.7170170251863756,0.014998694534732753,0.6868702492621238,0.7388379974554989,0.7007219573402064,0.00855239024140198,0.686263324166364,0.7157843961634172,0.25316664306674336,0.0039917021180278815,0.24644064714303757,0.26031250984939275,-0.01200670141474312,0.02484525376229715,-0.051582278481012586,0.035336001489203184,-0.012201023744893772,0.022648014885341596,-0.04977478688530673,0.03199386288057135,-0.010894452717795992,0.018145983626266102,-0.047272896500372336,0.01488039836187639,0.0043641657132597435,0.006909412020312354,-0.003521890964986782,0.020619841381653098,0.0019340642372052894,0.003275247685662562,-0.0017691462714443968,0.009715698698112663
Model C,0.541255584512286,0.025045885526802474,0.49918326507818317,0.5809544862248697,0.5226623609910601,0.025146388193568354,0.48243523962383633,0.564910731261887,0.5272477661950856,0.026035508176128607,0.47643452159344746,0.5596623696947133,0.7100726338167991,0.015863212961564812,0.6813207038159925,0.734862089100718,0.7022607587400931,0.010225423539136691,0.6892875096502531,0.7218200340813044,0.25403259455463056,0.00478877220716362,0.24784347544545263,0.26324254575067146,-0.0121788905435592,0.020178500920037246,-0.04704253536857784,0.023178052866716266,-0.01319632584477202,0.022022918345175464,-0.05098227266340435,0.022215661743765713,-0.01804030156366344,0.016222991714075298,-0.05020360201042439,0.002013914743112339,0.00590296711314669,0.005268833909264001,0.0006854222278022293,0.01706721558978747,0.0028000157250924864,0.002541215537934194,0.0002773337758390601,0.008175140524399374
Model D,0.5488086373790023,0.02970354767295379,0.49188849590469097,0.5832092330603127,0.5319785356462188,0.02782443925775775,0.48209877795894746,0.5642186452045607,0.5365134028294862,0.023030441375832326,0.49387565152643337,0.5720332278481012,0.7196888865918893,0.013517757543001505,0.6980647442117004,0.7424709763260682,0.6995211927365674,0.00936913942550904,0.6848863377477558,0.7186661405994779,0.25265217057071815,0.004337385496205158,0.24580387308104695,0.2614329168696077,-0.004625837676842904,0.01324586997104736,-0.031073157110945607,0.018021686522710294,-0.0038801511896134093,0.012222064582876037,-0.025053985805789016,0.01906978483979642,-0.008774664929262845,0.008040095746798035,-0.024674236783320876,0.003141288160833937,0.003163401109620839,0.003139317250358512,-0.0003991383732523917,0.009724369724651757,0.0014195917411800804,0.0014104557499299874,-0.0002522246504928355,0.004314843963876929
Model E,0.5534344750558451,0.025848918455251887,0.49581161578555477,0.5885145197319435,0.5358586868358322,0.024983793512997267,0.4855542886791635,0.5730146262763496,0.5448459605361131,0.02006819331569206,0.5090120067014148,0.5756503629932986,0.7227954473629379,0.012812229522105017,0.7003860767010399,0.7452462570169188,0.696377532683093,0.008661260275821734,0.6837594344047334,0.7139260655415638,0.25124191641831406,0.004018218375195235,0.2453115188240169,0.25926237190241036,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.00044210722263589574,0.0009148796516228046,-0.0027108153387937345,0.0,1.97410561464495e-05,2.358646853494395e-05,-3.316777674949034e-05,5.414659964046441e-05,9.337588775988615e-06,1.0999103629593694e-05,-1.5364293948652573e-05,2.5080939888284108e-05
Model F,0.521909903201787,0.029130518505466073,0.47700577066269545,0.5685173119880863,0.5057176434988354,0.024130543581940587,0.46552432098887053,0.5442277511779906,0.5112132352941176,0.03147831074355373,0.45978569434102756,0.5599334512285926,0.7023896619224348,0.01933883422872801,0.6673756212595423,0.7295849079031238,0.7117028903448147,0.012970172933266197,0.6940622857987873,0.7405224546031068,0.2580760855203045,0.005901030140896804,0.25000822799718303,0.27111611048085166,-0.03152457185405811,0.022868506932207468,-0.07474171630677584,0.008786299329858374,-0.03014104333699689,0.018526540955493727,-0.06516175293876621,0.004452270103273745,-0.03407483246463141,0.022713088248490963,-0.08050190804169766,-0.0026189035740878746,0.015345098717868095,0.011278535700703111,0.0040625477276474194,0.03937762520717995,0.006843506690766356,0.005162311581027632,0.0016426571583054328,0.01790413315551009
Model G,0.5250232688011913,0.03218054209024839,0.4705789277736411,0.561646034996277,0.5047648930235026,0.027339996479239584,0.46046885150938677,0.5383764483389634,0.504625837676843,0.02875056370439718,0.4564861783320924,0.5453171537602383,0.6926689610404646,0.01719783939053329,0.6625121108019132,0.7195660247923974,0.7270844155015116,0.016948915916872663,0.7055734586516342,0.7621134763838523,0.26428973216434265,0.0072961033825194675,0.2551926552406295,0.27937433961196534,-0.028411206254653775,0.02683719065914736,-0.07016008935219654,0.016918745346239758,-0.03109379381232951,0.023933462013014953,-0.07672034754147197,0.0077302040914673555,-0.04066223008190619,0.024625777372533998,-0.089865273641102,-0.0057113272524200445,0.03072662387456489,0.013702455510144223,0.013104079335347112,0.05892495267317095,0.01305715333480455,0.006012580787548658,0.004885804199885368,0.02509753053693426
