label,mean_shift_pp,ci_low_pp,ci_high_pp,pr_shift_gt_0,pr_shift_lt_0,n_rows,n_unique_questions
background_or_cross_cutting,-5.966775510204082,-14.285714285714285,2.4489795918367365,0.0808,0.9058,771,280
build,1.679183673469388,-5.7142857142857135,8.571428571428571,0.666,0.2944,771,280
design,1.7435102040816326,-6.938775510204081,10.204081632653061,0.6378,0.3304,771,280
release,1.145142857142857,-0.40816326530612246,2.857142857142857,0.86,0.053,771,280
test_learn,1.398938775510204,-1.2346938775510174,4.489795918367347,0.7888,0.1424,771,280
