model,features,balanced_accuracy,macro_f1,roc_auc,pr_auc,log_loss,brier_score,expected_calibration_error,calibration_bins_used,incremental_balanced_accuracy_vs_A,incremental_macro_f1_vs_A,incremental_roc_auc_vs_A
Model A,method,0.5530806238845348,0.5518680501958094,0.5701443314968573,0.7298396669409686,0.6834973843717101,0.24505460223486658,0.17598658662070968,4,0.0,0.0,0.0
Model B,method + category_first_pass,0.5707185535811283,0.5568459308552416,0.5768798013501979,0.7332141310847062,0.6872789520204072,0.24674419887104354,0.17591164324684636,6,0.017637929696593502,0.004977880659432166,0.006735469853340614
Model C,method + risk_stage_analysis_final,0.5572437339954993,0.5465725461984623,0.5843330488088772,0.7292807059453327,0.6831079742758742,0.24476445829935017,0.17866095908948296,7,0.004163110110964485,-0.0052955039973471285,0.014188717312019872
Model D,method + risk_mechanism_final,0.5456157367890122,0.543590884411197,0.5668503142701948,0.7237865864194767,0.6851989726632933,0.24588321341924754,0.17676658187938465,4,-0.007464887095522621,-0.008277165784612461,-0.003294017226662449
Model E,method + proxy_relation_final,0.5714169317917281,0.554202082607627,0.5886047955303794,0.7309317263977673,0.6840600270179897,0.2450963962168324,0.17382385733346029,6,0.018336307907193317,0.0023340324118176214,0.018460464033522084
Model F,method + category_first_pass + risk_stage_analysis_final + risk_mechanism_final + proxy_relation_final,0.5631683091487546,0.5374684439759203,0.5818887250717778,0.7280767895679082,0.6965446855724752,0.2505977999443927,0.18652718237661015,8,0.01008768526421977,-0.014399606219889116,0.01174439357492052
