label,centered_suppression_effect_pp,p_suppressed_given_label,p_suppressed_baseline,n_rows,n_unique_questions
background_or_cross_cutting,-3.9093614099336205,0.6431372549019608,0.682230869001297,255,87
build,1.776913099870292,0.7,0.682230869001297,160,64
design,0.9127155690060951,0.691358024691358,0.682230869001297,324,116
release,20.66580198875918,0.8888888888888888,0.682230869001297,9,4
test_learn,10.037782665087692,0.782608695652174,0.682230869001297,23,9
