label,mean_shift_pp,ci_low_pp,ci_high_pp,pr_shift_gt_0,pr_shift_lt_0,n_rows,n_unique_questions
component,-1.8538775510204082,-10.612244897959183,6.938775510204081,0.3138,0.6464,771,280
general_proxy,2.980163265306122,-2.8571428571428568,8.571428571428571,0.8372,0.1296,771,280
neighbor,2.009224489795918,-2.4489795918367347,6.530612244897959,0.7796,0.167,771,280
precursor,4.879183673469388,-1.6326530612244898,11.428571428571429,0.9214,0.0584,771,280
unclear,-8.01469387755102,-15.510204081632656,-0.4081632653061218,0.0192,0.9772,771,280
