model,balanced_accuracy_mean,balanced_accuracy_standard_deviation,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,macro_f1_mean,macro_f1_standard_deviation,macro_f1_ci95_low,macro_f1_ci95_high,roc_auc_mean,roc_auc_standard_deviation,roc_auc_ci95_low,roc_auc_ci95_high,average_precision_mean,average_precision_standard_deviation,average_precision_ci95_low,average_precision_ci95_high,log_loss_mean,log_loss_standard_deviation,log_loss_ci95_low,log_loss_ci95_high,brier_score_mean,brier_score_standard_deviation,brier_score_ci95_low,brier_score_ci95_high,delta_balanced_accuracy_vs_A_mean,delta_balanced_accuracy_vs_A_standard_deviation,delta_balanced_accuracy_vs_A_ci95_low,delta_balanced_accuracy_vs_A_ci95_high,delta_macro_f1_vs_A_mean,delta_macro_f1_vs_A_standard_deviation,delta_macro_f1_vs_A_ci95_low,delta_macro_f1_vs_A_ci95_high,delta_roc_auc_vs_A_mean,delta_roc_auc_vs_A_standard_deviation,delta_roc_auc_vs_A_ci95_low,delta_roc_auc_vs_A_ci95_high,delta_log_loss_vs_A_mean,delta_log_loss_vs_A_standard_deviation,delta_log_loss_vs_A_ci95_low,delta_log_loss_vs_A_ci95_high,delta_brier_score_vs_A_mean,delta_brier_score_vs_A_standard_deviation,delta_brier_score_vs_A_ci95_low,delta_brier_score_vs_A_ci95_high
Model A,0.5359298541788999,0.01649509904390224,0.4955638945977687,0.5536745816206694,0.5282033358478484,0.017240492754374934,0.48753680433701374,0.5500214811783961,0.5395888383245254,0.012171339445410337,0.5154607677627716,0.559804083480133,0.720319366802533,0.008841332944460096,0.7065202900739899,0.7344568572688831,0.6928717353058552,0.003434148312193316,0.6863468181707655,0.697121862925923,0.24966699385090957,0.0016612044820216035,0.2465051320216957,0.2517687515518793,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Model B,0.5434050205519672,0.013479482679447161,0.5143557936973968,0.5629468217850851,0.529510625528318,0.014015223882275395,0.4976786102947417,0.5475640872006691,0.540222523977295,0.014341508730369115,0.5103414317870425,0.5599050083186533,0.722288794199876,0.009589711233365196,0.7035419356048616,0.7346617180423513,0.6985675142425071,0.0059234894311324315,0.6903974510601447,0.7113267678271638,0.25193477506226414,0.0027672613099224775,0.24813699177837284,0.2578608983485598,0.0074751663730671354,0.019338558997499474,-0.01721563662164808,0.04629544676061852,0.0013072896804696866,0.020910532542195086,-0.023728231790253733,0.04437532579619482,0.0006336856527696388,0.015393466345129328,-0.022228848600508895,0.029800046486592277,0.005695778936651847,0.005433862949787217,-0.002166612333440726,0.017125100429468684,0.002267781211354618,0.0025104039525623567,-0.0013256068751335566,0.007466730522413033
Model C,0.5350515022509297,0.013438851679823428,0.5064423688588765,0.5572063393031904,0.5212680877598456,0.013937951429844988,0.4906947566768035,0.5429539092725341,0.5354105500097865,0.01440646240912844,0.5049370596007047,0.5568479032100215,0.7231233672153318,0.010201243674167254,0.701484178053115,0.7355343397846362,0.6974568270535215,0.0060647968189640675,0.6888495083870504,0.7108053689470863,0.25168065571850456,0.00288720744212696,0.24755312257794576,0.25812361950891155,-0.0008783519279702473,0.019574795952480517,-0.027222181444509733,0.038772876296731186,-0.006935248088002682,0.021406199777572806,-0.03647937850251673,0.03650112195438639,-0.004178288314738679,0.012903163767717949,-0.026460045997259804,0.019179389312977118,0.004585091747666243,0.004779429276684585,-0.0012822935854185813,0.014232540281278908,0.002013661867595057,0.002273531051501205,-0.000735573170907091,0.0066842565493900885
Model D,0.5288021139166176,0.013653384523202831,0.5031448791348601,0.5488785109610491,0.5090059781684376,0.012371020326034326,0.48509960323625295,0.5268360142162613,0.5368883343119984,0.0130639729505701,0.5143053312781366,0.5554508587786259,0.7273355689535969,0.009902626810753804,0.7104287050066329,0.7426275388862514,0.7008931648810648,0.006450071519403271,0.6916992008850746,0.712956246237127,0.25324003116129884,0.0030402719398541717,0.24903333363461372,0.2588836355355338,-0.007127740262282254,0.02344799149341931,-0.049983485026423996,0.035403515854374595,-0.01919735767941065,0.022661487962220683,-0.0632348501447189,0.021763090109768138,-0.0027005040125269,0.01711491650782585,-0.037448008416519796,0.028711893227637474,0.008021429575209581,0.006898503610117007,-0.000715385599443255,0.021724110143571645,0.003573037310389307,0.0032692491956519206,-0.0007297466258485506,0.010036013209107138
