model,balanced_accuracy_mean,balanced_accuracy_standard_deviation,balanced_accuracy_ci95_low,balanced_accuracy_ci95_high,macro_f1_mean,macro_f1_standard_deviation,macro_f1_ci95_low,macro_f1_ci95_high,roc_auc_mean,roc_auc_standard_deviation,roc_auc_ci95_low,roc_auc_ci95_high,average_precision_mean,average_precision_standard_deviation,average_precision_ci95_low,average_precision_ci95_high,log_loss_mean,log_loss_standard_deviation,log_loss_ci95_low,log_loss_ci95_high,brier_score_mean,brier_score_standard_deviation,brier_score_ci95_low,brier_score_ci95_high,delta_balanced_accuracy_vs_A_mean,delta_balanced_accuracy_vs_A_standard_deviation,delta_balanced_accuracy_vs_A_ci95_low,delta_balanced_accuracy_vs_A_ci95_high,delta_macro_f1_vs_A_mean,delta_macro_f1_vs_A_standard_deviation,delta_macro_f1_vs_A_ci95_low,delta_macro_f1_vs_A_ci95_high,delta_roc_auc_vs_A_mean,delta_roc_auc_vs_A_standard_deviation,delta_roc_auc_vs_A_ci95_low,delta_roc_auc_vs_A_ci95_high,delta_log_loss_vs_A_mean,delta_log_loss_vs_A_standard_deviation,delta_log_loss_vs_A_ci95_low,delta_log_loss_vs_A_ci95_high,delta_brier_score_vs_A_mean,delta_brier_score_vs_A_standard_deviation,delta_brier_score_vs_A_ci95_low,delta_brier_score_vs_A_ci95_high
Model A,0.5594366415767829,0.01137213748684937,0.5384958679289206,0.5762275936990766,0.5579111960465069,0.013447537406833772,0.5323571888625936,0.5777290573285929,0.5672767129665555,0.00888708672533315,0.5477466633041049,0.5820802940948242,0.7212230999613913,0.006454112438007794,0.7090689137349799,0.7330073900379602,0.6834374521746795,0.0026516978386646947,0.6792584774383763,0.6890274094487974,0.24501496216727908,0.0012750094286611755,0.24301302094306215,0.2477404240567184,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Model B,0.5588761930627764,0.010104541654356055,0.5456762629005976,0.5781269884379607,0.5468867262562602,0.010043127700769698,0.5340812337482836,0.5667980831366497,0.5661585318538063,0.008567861468131037,0.5518944478932257,0.5809489213936524,0.7079178885931394,0.0071651072764263015,0.6971380142438034,0.7194296392730949,0.6920092772256785,0.003231501619125503,0.6859318558930836,0.6968854335938892,0.24877247141409814,0.0014752763571736305,0.24599109280739334,0.25114861300475655,-0.0005604485140063509,0.013221241002595946,-0.021758458136106114,0.023925467525413233,-0.011024469790246577,0.014994574896740692,-0.03406652997926553,0.01894382129222653,-0.001118181112749267,0.010662114493313566,-0.01886862729882823,0.019591933731667528,0.008571825050999021,0.003465121140133964,0.0032491410809883992,0.013855788380871523,0.003757509246819077,0.0015851816692308567,0.0012599111451469468,0.006027152205400329
Model C,0.5600979669434315,0.011405111036878952,0.5426403546209358,0.5822274385039187,0.5483193516391338,0.010742965732806376,0.5321470594299089,0.5699238474225344,0.5678431752929309,0.00884245848446651,0.5536920928067045,0.5855184488243966,0.7083891184869802,0.0074877882357297885,0.6981255395129023,0.7220911639035338,0.6908811335153069,0.003479220122987866,0.6836953311058549,0.6963842807972224,0.2482567091538866,0.0015947355154119498,0.24497546874481518,0.25082373290727294,0.000661325366648563,0.013852544607356273,-0.02669347016373086,0.021745266547683734,-0.009591844407373023,0.01493085170906893,-0.038168547148838945,0.016042007013220515,0.0005664623263754387,0.009624380595857008,-0.013805579265926756,0.019299584852952544,0.007443681340627173,0.003399119457753046,0.0013520736820093193,0.012808985976541367,0.0032417469866075133,0.0015489835994817855,0.0004635998051349989,0.005674014254648899
Model D,0.5575777915729029,0.013335957788386081,0.5329209668658338,0.578342709707457,0.5384389343681321,0.011703351256318063,0.5143484047913018,0.5575365114662219,0.5650768216031661,0.011205696626472047,0.5431621013424381,0.5794180181578334,0.729749685074449,0.008616377312141403,0.7144242103825346,0.7420256586699855,0.6994600251278625,0.0057582290118681915,0.6919628991949419,0.708837328301475,0.251973172133691,0.002587949418749541,0.2487250259530606,0.2567604559759808,-0.0018588500038798806,0.015034723395017727,-0.03234742376037872,0.01602147512997605,-0.019472261678374802,0.015468317892879065,-0.04812939938104809,0.00281099918302748,-0.002199891363389461,0.011950832213546656,-0.024753433692868705,0.016008574532474548,0.016022572953182913,0.005831140376218082,0.0072756501610796885,0.025715394685510703,0.00695820996641198,0.0026308905412601273,0.0031424002863359364,0.011432251887346803
