model,delta_balanced_accuracy_vs_A_mean,delta_balanced_accuracy_vs_A_standard_deviation,delta_balanced_accuracy_vs_A_ci95_low,delta_balanced_accuracy_vs_A_ci95_high,delta_macro_f1_vs_A_mean,delta_macro_f1_vs_A_standard_deviation,delta_macro_f1_vs_A_ci95_low,delta_macro_f1_vs_A_ci95_high,delta_roc_auc_vs_A_mean,delta_roc_auc_vs_A_standard_deviation,delta_roc_auc_vs_A_ci95_low,delta_roc_auc_vs_A_ci95_high,delta_log_loss_vs_A_mean,delta_log_loss_vs_A_standard_deviation,delta_log_loss_vs_A_ci95_low,delta_log_loss_vs_A_ci95_high,delta_brier_score_vs_A_mean,delta_brier_score_vs_A_standard_deviation,delta_brier_score_vs_A_ci95_low,delta_brier_score_vs_A_ci95_high
Model A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Model B,-0.0005604485140063509,0.013221241002595946,-0.021758458136106114,0.023925467525413233,-0.011024469790246577,0.014994574896740692,-0.03406652997926553,0.01894382129222653,-0.001118181112749267,0.010662114493313566,-0.01886862729882823,0.019591933731667528,0.008571825050999021,0.003465121140133964,0.0032491410809883992,0.013855788380871523,0.003757509246819077,0.0015851816692308567,0.0012599111451469468,0.006027152205400329
Model C,0.000661325366648563,0.013852544607356273,-0.02669347016373086,0.021745266547683734,-0.009591844407373023,0.01493085170906893,-0.038168547148838945,0.016042007013220515,0.0005664623263754387,0.009624380595857008,-0.013805579265926756,0.019299584852952544,0.007443681340627173,0.003399119457753046,0.0013520736820093193,0.012808985976541367,0.0032417469866075133,0.0015489835994817855,0.0004635998051349989,0.005674014254648899
Model D,-0.0018588500038798806,0.015034723395017727,-0.03234742376037872,0.01602147512997605,-0.019472261678374802,0.015468317892879065,-0.04812939938104809,0.00281099918302748,-0.002199891363389461,0.011950832213546656,-0.024753433692868705,0.016008574532474548,0.016022572953182913,0.005831140376218082,0.0072756501610796885,0.025715394685510703,0.00695820996641198,0.0026308905412601273,0.0031424002863359364,0.011432251887346803
