method,metric,n_suppressed,n_forgotten,mean_suppressed,mean_forgotten,diff_supp_minus_forg,cohen_d,p_value_mwu_2sided
ELM,HKGap,33,20,0.6363636399760391,0.01666666716337204,0.619696972812667,2.4371020953183002,2.4779017499935844e-08
ELM,K_internal_ck8,33,20,0.8383838480169122,0.15000000447034836,0.6883838435465639,4.060455155888206,3.3181037249075855e-10
ELM,K_external_ck8,33,20,0.2020202080408732,0.13333333730697633,0.06868687073389687,0.4132769587126965,0.15207641784324455
ELM,external_drop,33,20,0.7979797919591268,0.8666666626930237,-0.0686868707338969,-0.41327695871269665,0.15207641784324455
ELM,mid_delta_ck8_minus_base,33,20,-0.13511586179707777,-0.23274509345783906,0.09762923166076129,0.5221311909659851,0.1166774491584707
ELM,late_delta_ck8_minus_base,33,20,-0.1825757537601572,-0.30291665986180305,0.12034090610164586,0.5297696484571864,0.07814070238857386
ELM,mid_slope_per_ckpt,33,20,-0.016889482724634707,-0.029093136682229837,0.01220365395759513,0.522131190965984,0.1166774491584707
ELM,late_slope_per_ckpt,33,20,-0.022821969220019615,-0.03786458248272534,0.015042613262705725,0.5297696484571864,0.07814070238857386
ELM,mid_min_checkpoint_value,33,20,0.6091503364198347,0.5366666748593836,0.07248366156045116,0.5644426659161236,0.05067630642667942
ELM,late_min_checkpoint_value,33,20,0.5631313230955239,0.4900000091269613,0.07313131396856265,0.3543800300804873,0.20546516442934581
GradDiff,HKGap,37,5,0.6396396409820866,0.0,0.6396396409820866,3.3979461474782204,0.00019395791471325937
GradDiff,K_internal_ck8,37,5,0.8648648729195466,0.26666667461395266,0.598198198305594,3.6407209613580798,7.202988302512306e-05
GradDiff,K_external_ck8,37,5,0.22522523193746,0.26666667461395266,-0.04144144267649266,-0.26344706453502736,0.5937524176658866
GradDiff,external_drop,37,5,0.77477476806254,0.7333333253860473,0.041441442676492635,0.26344706453502714,0.5937524176658866
GradDiff,mid_delta_ck8_minus_base,37,5,-0.08362479859012487,-0.17098038778585536,0.0873555891957305,0.6912937342746615,0.26000339762671976
GradDiff,late_delta_ck8_minus_base,37,5,-0.15653152794048592,-0.2716666623950005,0.11513513445451456,0.5238390372563833,0.40350276414893116
GradDiff,mid_slope_per_ckpt,37,5,-0.010453099823765586,-0.02137254847323188,0.010919448649466293,0.6912937342746611,0.26000339762671976
GradDiff,late_slope_per_ckpt,37,5,-0.019566440992560705,-0.033958332799375025,0.01439189180681432,0.5238390372563833,0.40350276414893116
GradDiff,mid_min_checkpoint_value,37,5,0.5183889862842893,0.45254902832648336,0.06583995795780595,0.4735229438010882,0.3229767664940964
GradDiff,late_min_checkpoint_value,37,5,0.3972973055734828,0.25500000745058055,0.14229729812290226,0.7145117562601835,0.13303662533444305
PB_J,HKGap,34,25,0.6372549060512992,0.0,0.6372549060512992,2.791447009553161,2.5143782761794055e-10
PB_J,K_internal_ck8,34,25,0.8333333432674408,0.14666667103767395,0.6866666722297669,4.061979021731536,1.5537732452540365e-11
PB_J,K_external_ck8,34,25,0.19607843721614165,0.14666667103767395,0.04941176617846771,0.2949706301214939,0.2677351939148106
PB_J,external_drop,34,25,0.8039215627838584,0.853333328962326,-0.04941176617846765,-0.29497063012149355,0.2677351939148106
PB_J,mid_delta_ck8_minus_base,34,25,-0.15420991610284493,-0.40533332901842456,0.2511234129155796,1.2062397676162466,5.3018602173815924e-05
PB_J,late_delta_ck8_minus_base,34,25,-0.20906862305367696,-0.539666660964489,0.33059803791081205,1.2486383771924288,6.040402452801689e-05
PB_J,mid_slope_per_ckpt,34,25,-0.019276239512855578,-0.05066666612730303,0.03139042661444745,1.2062397676162473,5.3018602173815924e-05
PB_J,late_slope_per_ckpt,34,25,-0.026133577881709585,-0.06745833262056108,0.0413247547388515,1.2486383771924294,6.040402452801689e-05
PB_J,mid_min_checkpoint_value,34,25,0.49261823136707483,0.41898039886530697,0.07363783250176786,0.5173144562445358,0.02772033415173519
PB_J,late_min_checkpoint_value,34,25,0.43063726357239135,0.2416666717529297,0.18897059181946166,1.0672860584894095,0.00022480906070287154
RMU,HKGap,45,34,0.6074074135886298,0.08823529674726374,0.5191721168413661,2.1293815296435734,3.2231746487377565e-11
RMU,K_internal_ck8,45,34,0.800000011920929,0.22549020279856288,0.574509809122366,3.541095611562566,3.0814274512659412e-15
RMU,K_external_ck8,45,34,0.19259259833229914,0.13725490605129914,0.055337692280999995,0.3323450727557773,0.14809174835684705
RMU,external_drop,45,34,0.8074074016677009,0.8627450939487008,-0.05533769228099994,-0.33234507275577696,0.14809174835684705
RMU,mid_delta_ck8_minus_base,45,34,-0.183355115800122,-0.2514417494457073,0.06808663364558529,0.35958241129722746,0.1260717003544462
RMU,late_delta_ck8_minus_base,45,34,-0.251481476376454,-0.4186274462982136,0.16714596992175956,0.6564722732295156,0.003379921817480511
RMU,mid_slope_per_ckpt,45,34,-0.022919389475015227,-0.03143021868071338,0.00851082920569815,0.35958241129722723,0.1260717003544462
RMU,late_slope_per_ckpt,45,34,-0.031435184547056724,-0.052328430787276656,0.02089324624021993,0.6564722732295154,0.003379921817480511
RMU,mid_min_checkpoint_value,45,34,0.5505010972225588,0.5013840907791494,0.04911700644340944,0.35598200949078945,0.12853737290037084
RMU,late_min_checkpoint_value,45,34,0.3783333416283131,0.35735294889001284,0.02098039273830027,0.1074946498877495,0.7400964138282553
RMU-LAT,HKGap,38,31,0.6315789512897793,0.04301075396999236,0.5885681973197869,2.5931940724140583,1.4752989273398522e-11
RMU-LAT,K_internal_ck8,38,31,0.8333333432674408,0.20430108135746372,0.6290322619099771,3.7624374166013794,1.944600075523827e-13
RMU-LAT,K_external_ck8,38,31,0.20175439197766154,0.16129032738747134,0.040464064590190196,0.24227229608045242,0.32021047013736637
RMU-LAT,external_drop,38,31,0.7982456080223385,0.8387096726125286,-0.04046406459019014,-0.2422722960804521,0.32021047013736637
RMU-LAT,mid_delta_ck8_minus_base,38,31,-0.16109390846531454,-0.1797596419898111,0.018665733524496547,0.11910133901902498,0.40180338768194535
