method,overlap_low,overlap_high,n_suppressed_total,n_forgotten_total,n_suppressed_overlap,n_forgotten_overlap,overlap_width
ELM,0.634858396629882,0.8906318121291453,79,26,33,20,0.25577341549926336
GradDiff,0.5900653666140986,0.8960348618186378,69,17,37,5,0.3059694952045392
PB_J,0.6367756071121864,0.8713289798786438,63,54,34,25,0.23455337276645738
RMU,0.5559041451122247,0.8860130762820151,60,47,45,34,0.33010893116979034
RMU-LAT,0.4921132960194856,0.9050544700980965,57,40,38,31,0.41294117407861086
RR,0.5938997913419811,0.9159912871691138,66,29,46,18,0.3220914958271327
RepNoise,0.6278867219982585,0.903485841345943,106,44,53,29,0.27559911934768455
TAR,0.5464052385754057,0.8060130776377286,86,35,32,17,0.2596078390623229
