model,checkpoint,fold,probe_type,classifier,probe_variant,remains,unlearned,emerged,never_known,total
RMU,ck8,single,end_band,RF,frozen_base,374,326,208,238,1146
RMU,ck8,single,end_band,RF,method_probe,373,327,204,242,1146
RMU,ck8,single,end_band,AdaBoost,frozen_base,351,371,210,214,1146
RMU,ck8,single,end_band,AdaBoost,method_probe,394,328,234,190,1146
RMU,ck8,single,ib_no_pca,LR,frozen_base,596,33,40,477,1146
RMU,ck8,single,ib_no_pca,LR,method_probe,629,0,4,513,1146
RMU,ck8,single,ib_no_pca,RF,frozen_base,583,60,61,442,1146
RMU,ck8,single,ib_no_pca,RF,method_probe,512,131,137,366,1146
RMU,ck8,single,ib_no_pca,AdaBoost,frozen_base,577,43,48,478,1146
RMU,ck8,single,ib_no_pca,AdaBoost,method_probe,421,199,185,341,1146
RMU-LAT,ck8,single,per_layer,LR,frozen_base,364,374,212,196,1146
RMU-LAT,ck8,single,per_layer,LR,method_probe,452,286,197,211,1146
RMU-LAT,ck8,single,per_layer,RF,frozen_base,362,365,202,217,1146
RMU-LAT,ck8,single,per_layer,RF,method_probe,461,266,180,239,1146
RMU-LAT,ck8,single,per_layer,AdaBoost,frozen_base,359,367,221,199,1146
RMU-LAT,ck8,single,per_layer,AdaBoost,method_probe,406,320,217,203,1146
RMU-LAT,ck8,single,mid_band,LR,frozen_base,415,374,172,185,1146
RMU-LAT,ck8,single,mid_band,LR,method_probe,476,313,167,190,1146
RMU-LAT,ck8,single,mid_band,RF,frozen_base,367,352,208,219,1146
RMU-LAT,ck8,single,mid_band,RF,method_probe,413,306,204,223,1146
RMU-LAT,ck8,single,mid_band,AdaBoost,frozen_base,380,337,215,214,1146
RMU-LAT,ck8,single,mid_band,AdaBoost,method_probe,394,323,217,212,1146
RMU-LAT,ck8,single,full_layer,LR,frozen_base,393,364,184,205,1146
RMU-LAT,ck8,single,full_layer,LR,method_probe,511,246,146,243,1146
RMU-LAT,ck8,single,full_layer,RF,frozen_base,336,373,208,229,1146
RMU-LAT,ck8,single,full_layer,RF,method_probe,407,302,215,222,1146
RMU-LAT,ck8,single,full_layer,AdaBoost,frozen_base,375,336,195,240,1146
RMU-LAT,ck8,single,full_layer,AdaBoost,method_probe,396,315,218,217,1146
RMU-LAT,ck8,single,init_band,LR,frozen_base,598,77,57,414,1146
RMU-LAT,ck8,single,init_band,LR,method_probe,610,65,45,426,1146
RMU-LAT,ck8,single,init_band,RF,frozen_base,398,232,207,309,1146
RMU-LAT,ck8,single,init_band,RF,method_probe,394,236,215,301,1146
RMU-LAT,ck8,single,init_band,AdaBoost,frozen_base,446,177,179,344,1146
RMU-LAT,ck8,single,init_band,AdaBoost,method_probe,374,249,243,280,1146
RMU-LAT,ck8,single,init_band_emb,LR,frozen_base,598,77,57,414,1146
