model,delta_balanced_accuracy_vs_A_mean,delta_balanced_accuracy_vs_A_standard_deviation,delta_balanced_accuracy_vs_A_ci95_low,delta_balanced_accuracy_vs_A_ci95_high,delta_macro_f1_vs_A_mean,delta_macro_f1_vs_A_standard_deviation,delta_macro_f1_vs_A_ci95_low,delta_macro_f1_vs_A_ci95_high,delta_roc_auc_vs_A_mean,delta_roc_auc_vs_A_standard_deviation,delta_roc_auc_vs_A_ci95_low,delta_roc_auc_vs_A_ci95_high,delta_log_loss_vs_A_mean,delta_log_loss_vs_A_standard_deviation,delta_log_loss_vs_A_ci95_low,delta_log_loss_vs_A_ci95_high,delta_brier_score_vs_A_mean,delta_brier_score_vs_A_standard_deviation,delta_brier_score_vs_A_ci95_low,delta_brier_score_vs_A_ci95_high
Model A,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Model B,0.010794405214557296,0.015259717989815449,-0.010301175603321213,0.03341322650733294,0.0003511881538673933,0.01642761099202685,-0.021230549544505387,0.024705918221272303,0.00837180879956545,0.007234835792001891,-0.003973190036470934,0.021082292232482445,0.004529614237072965,0.0028423084239449317,0.00013080645055898457,0.009599322561939216,0.0018647150213059933,0.0013120262814409534,-6.930303841380103e-05,0.004265946737714527
Model C,0.010162954915806637,0.011973374615393514,-0.011624505315434136,0.030296034763715337,0.0015735448167521371,0.01377560295877553,-0.021248224705675712,0.027810280887188565,0.005758322340342986,0.007410772165713941,-0.007546655544346989,0.015933013889966617,0.003720362029785973,0.002600008453215329,0.00047097696855617766,0.009330862955578341,0.001635098992333331,0.0012176149096438536,0.00014472045625887054,0.004274284466103895
Model D,-0.009717350818654468,0.010752028698396969,-0.026578819740824124,0.004226934119655468,-0.01205381764579187,0.012286575281182413,-0.031022707823047196,0.004617740061284373,-0.007949677970047359,0.006618811877576747,-0.020204566617521496,0.001552242570031785,0.00403697849298526,0.002381510941206597,0.001001430334392217,0.008888227353942228,0.0019178048640347111,0.0011473306792832547,0.00045524218596020645,0.004226549104030365
Model E,0.013740591293551641,0.012020428176315694,-0.00420976565531157,0.034957127337627,0.0003955409920208264,0.013924341161880235,-0.02144210046995705,0.02313277195763189,0.01565763948164815,0.009128787566535892,-0.0016261542639869231,0.02967486614417622,0.0005114328399773771,0.0036765394201757036,-0.004294362307210586,0.008273551724933437,0.00011777746823109364,0.0017310480177037855,-0.002177332266752259,0.0037542384431554798
Model F,0.002669550710017865,0.015546988813367644,-0.02418522542096687,0.027606114689221722,-0.010426499315150517,0.017133936208133024,-0.042248799865681426,0.0161587170401377,0.003886474741988055,0.014145668825371355,-0.02214954993404208,0.02916660200201756,0.01127653919227301,0.007467462567864601,0.0021588834327518707,0.02585619137778911,0.004676117205103435,0.003351348604088006,0.0006854111056260097,0.011258736263507051
Model G,0.0021537208039109244,0.013546199139283226,-0.021889307053619866,0.022875863273065834,-0.011063396213820497,0.01534058255080545,-0.03687736887162192,0.013172782464817404,-0.0010050826414215951,0.014110042018096604,-0.027284084736556167,0.024195313106231076,0.023981842317154327,0.007488146983219075,0.010698526693601444,0.03559178158763421,0.009403159958431863,0.0033210943987590814,0.003484708688803381,0.014789320776010422
