,min_pairwise_sigmoid_margin,max_distractor_confidence,correct_option_confidence,earliest_layer_kint1,mean_kint_layers,std_kint_layers,min_probe_probability_margin,rank_alignment
min_pairwise_sigmoid_margin,1.0,-0.13221427841504999,0.5242419594030179,-0.13640376671758306,0.41389108630759025,-0.21230151195491764,0.7927863927744846,0.0007762624297381258
max_distractor_confidence,-0.13221427841504999,1.0,0.36421285691179833,-0.001473015485306703,-0.06522051525857492,0.05776719048453001,-0.20202764389841,0.10030583354127112
correct_option_confidence,0.5242419594030178,0.36421285691179833,1.0,-0.08967345471382819,0.23068960734817823,-0.1316320523735236,0.6606922350973954,0.05055019519066097
earliest_layer_kint1,-0.13640376671758306,-0.001473015485306703,-0.08967345471382818,0.9999999999999998,-0.48359364298693613,0.5617343484579053,-0.20173907236920427,-0.03574549015575181
mean_kint_layers,0.41389108630759025,-0.06522051525857492,0.23068960734817825,-0.4835936429869361,0.9999999999999999,-0.7337729260059147,0.47116939820265574,0.04400789462772829
std_kint_layers,-0.21230151195491767,0.057767190484530016,-0.1316320523735236,0.5617343484579053,-0.7337729260059147,1.0,-0.2837687229721496,0.00439292183649802
min_probe_probability_margin,0.7927863927744846,-0.20202764389841,0.6606922350973954,-0.20173907236920427,0.47116939820265574,-0.2837687229721496,0.9999999999999998,-0.020319958127566425
rank_alignment,0.0007762624297381258,0.10030583354127112,0.05055019519066097,-0.03574549015575181,0.04400789462772829,0.00439292183649802,-0.020319958127566422,1.0
