label,n_questions_with_label,n_eligible_rows_with_label,mean_balanced_shift,median_balanced_shift,ci95_low,ci95_high,sign_probability_positive,sign_probability_negative,bootstrap_repetitions,bootstrap_seed
is_ideation,0,0,0.0,0.0,0.0,0.0,0.0,0.0,5000,42
is_design,155,425,0.02453012272850056,0.024721916636108093,-0.07421917644650655,0.12121212121212122,0.6738,0.2968,5000,42
is_build,102,269,-0.009700531781695228,-0.008968609865470878,-0.09877721232683064,0.07986458333333328,0.3908,0.5722,5000,42
is_test,17,43,0.00997040615008799,0.008547008547008546,-0.03968253968253968,0.06451612903225806,0.6128,0.3242,5000,42
is_learn,10,35,0.01864543572712286,0.018018018018018018,-0.015874596850692466,0.056523789991796525,0.815,0.1296,5000,42
is_release,42,117,0.0435058060889714,0.04435483870967743,-0.0326268115942029,0.11646775070205631,0.8566,0.1222,5000,42
is_test_learn,25,70,0.013505137086189445,0.013043478260869566,-0.04444669365721997,0.07234042553191489,0.6504,0.3012,5000,42
is_background_knowledge,84,243,-0.06426888980022923,-0.06422018348623854,-0.15574036619118586,0.02362673415823017,0.075,0.9116,5000,42
is_cannot_determine,8,23,0.0018361716699005484,0.0,-0.027238238415281217,0.032922941256274575,0.4798,0.4022,5000,42
